Player,Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
1,Jannik Sinner,ITA,7,1296,87.5%,39.2%,60,9.9%,18,3.0%,56.0%,79.9%,57.5%,70.0%,39,66.7%,46.1%,93,43.0%,57.3%,1.54,16:36
4,Alexander Zverev,GER,5,1157,90.2%,29.2%,76,13.8%,21,3.8%,65.5%,78.9%,51.6%,69.5%,38,76.3%,40.7%,62,41.9%,54.4%,1.33,14:57
12,Taylor Fritz,USA,7,1411,87.8%,23.7%,85,12.5%,26,3.8%,59.1%,79.6%,59.4%,71.3%,34,55.9%,37.9%,66,42.4%,54.0%,1.32,17:43
13,Ben Shelton,USA,3,656,90.7%,20.4%,48,15.2%,8,2.5%,67.3%,78.3%,57.3%,71.4%,24,79.2%,37.2%,28,39.3%,53.7%,1.30,8:01
6,Andrey Rublev,RUS,4,1001,85.7%,29.5%,76,16.2%,28,6.0%,57.4%,80.4%,52.0%,68.3%,43,74.4%,40.7%,63,36.5%,53.6%,1.28,12:08
25,Jack Draper,GBR,6,1004,91.1%,38.5%,54,10.2%,31,5.8%,52.6%,77.9%,53.6%,66.4%,39,82.1%,43.2%,61,49.2%,55.5%,1.28,12:17
3,Carlos Alcaraz,ESP,2,376,74.2%,28.1%,10,6.3%,5,3.1%,61.3%,71.4%,59.7%,66.9%,15,46.7%,42.1%,24,37.5%,52.7%,1.27,5:01
28,Alexei Popyrin,AUS,4,807,82.8%,34.8%,66,16.9%,27,6.9%,55.4%,81.5%,47.1%,66.2%,30,63.3%,42.9%,47,48.9%,54.2%,1.27,10:11
,All Main Draw Players,,127.0,,76.2%,23.8%,,8.4%,,5.4%,56.7%,72.1%,48.8%,62.0%,,59.9%,38.0%,,40.1%,50.0%,1.00,
10,Alex De Minaur,AUS,5,1090,82.1%,33.7%,37,7.2%,33,6.4%,47.5%,73.1%,56.8%,64.5%,43,65.1%,44.1%,63,46.0%,53.8%,1.24,13:39
8,Casper Ruud,NOR,4,919,81.9%,28.8%,35,7.8%,22,4.9%,62.7%,74.8%,52.4%,66.4%,34,61.8%,40.5%,48,43.8%,53.2%,1.21,11:36
5,Daniil Medvedev,RUS,5,976,79.2%,42.5%,45,9.2%,39,8.0%,55.2%,73.6%,47.7%,62.0%,43,65.1%,45.4%,69,44.9%,53.7%,1.20,11:25
9,Grigor Dimitrov,BUL,5,1018,84.0%,26.9%,62,11.9%,39,7.5%,55.0%,82.5%,46.6%,66.3%,39,66.7%,39.8%,48,43.8%,53.3%,1.18,12:17
20,Frances Tiafoe,USA,6,1453,86.4%,23.1%,56,7.9%,26,3.7%,55.4%,76.3%,56.6%,67.6%,44,63.6%,37.8%,70,38.6%,52.3%,1.16,18:19
2,Novak Djokovic,SRB,3,595,83.7%,32.6%,27,8.9%,32,10.6%,52.0%,73.9%,50.3%,62.6%,23,69.6%,43.0%,42,33.3%,52.9%,1.15,7:42
