Player,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,M,PeakRank
Adam Walton,0.789,0.19,11.0,0.095,4.0,0.034,0.638,0.73,0.5,0.647,5.0,0.2,0.361,13.0,0.308,0.488,1.02,1.0,85.0
Adrian Mannarino,0.7016428571428571,0.20057142857142857,14.285714285714286,0.061714285714285715,7.714285714285714,0.040857142857142856,0.5583571428571429,0.6682857142857143,0.5009285714285714,0.5948571428571429,21.642857142857142,0.5859285714285714,0.36014285714285715,19.285714285714285,0.36407142857142855,0.47835714285714287,0.9142857142857144,28.0,17.0
Adrian Menendez Maceiras,0.759,0.207,19.0,0.098,3.0,0.015,0.593,0.7390000000000001,0.494,0.639,15.0,0.5329999999999999,0.371,13.0,0.462,0.508,1.03,2.0,111.0
Adrian Ungur,0.47350000000000003,0.138,3.0,0.028499999999999998,7.0,0.0805,0.6000000000000001,0.5825,0.3365,0.4855,11.0,0.43200000000000005,0.295,4.0,0.7145,0.3955,0.625,2.0,79.0
Adrian Voinea,0.775,0.16749999999999998,13.0,0.0795,6.5,0.0445,0.598,0.6795,0.512,0.6165,14.5,0.6234999999999999,0.33049999999999996,10.5,0.3775,0.478,0.865,3.0,36.0
Agustin Calleri,0.7711250000000001,0.19637500000000002,22.375,0.10925000000000001,10.25,0.053,0.539125,0.770125,0.48875,0.6391249999999999,18.125,0.6268750000000001,0.373625,18.75,0.35150000000000003,0.5035000000000001,1.0525,14.0,16.0
Aisam Ul Haq Qureshi,0.857,0.0,33.0,0.24100000000000002,4.0,0.028999999999999998,0.606,0.807,0.426,0.657,6.0,0.5,0.153,0.0,0.0,0.431,0.45,1.0,125.0
Albano Olivetti,0.7140000000000001,0.0,18.0,0.205,8.0,0.091,0.557,0.755,0.385,0.591,13.0,0.6920000000000001,0.23199999999999998,1.0,0.0,0.418,0.57,1.0,
Albert Costa,0.7071666666666667,0.14933333333333335,14.333333333333334,0.05416666666666667,6.833333333333333,0.03833333333333334,0.5868333333333333,0.6546666666666666,0.4995,0.5911666666666667,18.666666666666668,0.5998333333333333,0.3135,15.333333333333334,0.40216666666666673,0.45916666666666667,0.84,12.0,6.0
Albert Montanes,0.6495384615384616,0.096,6.153846153846154,0.03776923076923077,5.846153846153846,0.046384615384615385,0.5654615384615385,0.6689999999999999,0.445,0.5696153846153846,11.307692307692308,0.46946153846153843,0.25546153846153846,6.769230769230769,0.31169230769230766,0.424,0.6153846153846154,17.0,22.0
Albert Portas,0.61125,0.0995,16.5,0.128,10.75,0.082,0.51025,0.71875,0.38825,0.55725,13.75,0.48524999999999996,0.311,7.5,0.20224999999999999,0.437,0.7175,6.0,19.0
Albert Ramos,0.7137857142857144,0.12978571428571428,7.0,0.03628571428571429,6.5,0.039642857142857146,0.6008571428571428,0.6545714285714286,0.5127142857142857,0.5980714285714285,17.071428571428573,0.5900714285714285,0.32628571428571435,12.142857142857142,0.2817142857142857,0.4645,0.8292857142857143,19.0,17.0
Alberto Martin,0.669375,0.24562499999999998,6.625,0.039875,10.375,0.061125,0.5565,0.656625,0.491375,0.5835,19.5,0.567,0.388125,14.375,0.4605,0.485,0.93875,12.0,34.0
Alejandro Davidovich Fokina,0.7272,0.2764,13.6,0.0446,11.6,0.0408,0.6544,0.663,0.49720000000000003,0.6048,26.2,0.5414,0.40499999999999997,32.4,0.4474,0.5038,1.034,13.0,21.0
Alejandro Falla,0.5933333333333334,0.22916666666666666,8.166666666666666,0.049166666666666664,8.5,0.06183333333333333,0.5556666666666666,0.6298333333333334,0.43083333333333335,0.5401666666666666,17.666666666666668,0.4515,0.3841666666666667,16.5,0.3805,0.4626666666666666,0.8483333333333333,8.0,50.0
Alejandro Gonzalez,0.602,0.177,9.0,0.063,4.5,0.035,0.5760000000000001,0.594,0.479,0.5465,14.0,0.40049999999999997,0.3625,12.0,0.33299999999999996,0.4515,0.8400000000000001,3.0,70.0
Alejandro Tabilo,0.6875,0.248,17.0,0.09,11.0,0.063,0.567,0.7285,0.4005,0.5865,20.5,0.6375,0.3845,16.5,0.4455,0.489,0.9400000000000001,3.0,19.0
Aleksandar Kovacevic,0.8,0.095,25.0,0.185,6.0,0.044000000000000004,0.526,0.7609999999999999,0.42200000000000004,0.6,14.0,0.7140000000000001,0.313,8.0,0.25,0.45899999999999996,0.78,1.0,72.0
Aleksandar Vukic,0.733,0.065,10.0,0.10550000000000001,5.0,0.052000000000000005,0.563,0.678,0.4495,0.5805,10.5,0.6115,0.307,3.0,0.375,0.4445,0.73,2.0,48.0
Aleksandr Nedovyesov,0.709,0.14100000000000001,11.0,0.078,4.5,0.0455,0.5740000000000001,0.6459999999999999,0.42100000000000004,0.5465,8.0,0.25,0.35750000000000004,16.0,0.1875,0.44499999999999995,0.8400000000000001,3.0,72.0
