Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
,,,,,,,,,,,,,,,,,,,,,,
2,Novak Djokovic,SRB,7,1339,90.6%,39.2%,51,8.0%,26,4.1%,61.4%,79.5%,54.5%,69.9%,40,75.0%,44.6%,80,50.0%,56.6%,1.48,18:19
9,Taylor Fritz,USA,5,746,89.1%,39.7%,55,14.7%,11,2.9%,54.5%,83.8%,51.8%,69.3%,16,56.3%,44.9%,41,61.0%,57.1%,1.46,9:19
WC,John Isner,USA,2,518,97.8%,9.5%,59,24.1%,5,2.0%,66.9%,84.1%,63.0%,77.1%,4,75.0%,31.5%,14,28.6%,53.1%,1.38,6:33
13,Alex De Minaur,AUS,4,689,84.2%,39.7%,12,3.6%,12,3.6%,51.7%,76.6%,56.3%,66.8%,18,50.0%,45.0%,47,48.9%,55.4%,1.35,8:34
10,Frances Tiafoe,USA,5,964,82.3%,36.7%,52,11.5%,11,2.4%,55.7%,77.9%,53.7%,67.2%,27,48.1%,44.3%,66,43.9%,55.1%,1.35,11:42
8,Andrey Rublev,RUS,5,1063,80.0%,30.1%,36,7.3%,16,3.3%,60.4%,77.0%,52.1%,67.1%,37,54.1%,42.9%,64,39.1%,54.1%,1.31,12:59
Q,Borna Gojo,CRO,4,679,87.7%,27.8%,52,15.7%,10,3.0%,68.7%,76.3%,56.7%,70.2%,16,56.3%,38.9%,41,36.6%,54.2%,1.30,8:19
,Roman Safiullin,RUS,2,391,82.4%,32.4%,20,10.5%,8,4.2%,62.1%,75.4%,56.9%,68.4%,10,40.0%,40.8%,20,55.0%,54.2%,1.29,4:32
1,Carlos Alcaraz,ESP,6,1122,91.8%,27.9%,19,3.5%,11,2.0%,63.6%,73.0%,59.8%,68.2%,32,78.1%,40.3%,63,38.1%,53.9%,1.27,14:25
3,Daniil Medvedev,RUS,7,1438,86.4%,37.4%,66,9.1%,51,7.1%,61.4%,77.7%,43.0%,64.3%,51,70.6%,44.3%,82,48.8%,54.3%,1.24,19:02
21,Alejandro Davidovich Fokina,ESP,3,516,78.6%,30.2%,11,4.5%,8,3.3%,65.6%,71.3%,51.2%,64.3%,20,55.0%,43.4%,25,52.0%,53.3%,1.22,5:57
6,Jannik Sinner,ITA,4,882,86.6%,29.2%,33,7.8%,16,3.8%,55.7%,74.6%,55.3%,66.0%,30,70.0%,41.5%,48,39.6%,53.3%,1.22,12:02
12,Alexander Zverev,GER,5,1206,82.2%,24.5%,57,10.1%,22,3.9%,68.9%,72.9%,50.3%,65.8%,31,48.4%,40.4%,73,31.5%,52.2%,1.18,16:45
32,Laslo Djere,SRB,3,609,79.6%,30.0%,25,8.4%,6,2.0%,64.1%,72.8%,52.3%,65.4%,21,52.4%,40.5%,34,44.1%,52.7%,1.17,7:38
,Dominic Thiem,AUT,2,256,85.7%,35.0%,10,7.9%,7,5.5%,61.4%,70.5%,53.1%,63.8%,9,66.7%,41.9%,12,58.3%,52.7%,1.16,2:59
14,Tommy Paul,USA,4,891,80.0%,31.5%,45,10.2%,18,4.1%,62.2%,76.4%,46.1%,64.9%,30,50.0%,40.5%,51,45.1%,52.6%,1.16,10:48
31,Sebastian Korda,USA,1,347,89.7%,14.8%,8,5.0%,7,4.4%,56.6%,74.4%,62.3%,69.2%,6,50.0%,35.6%,11,36.4%,51.0%,1.16,4:26
,Stan Wawrinka,SUI,3,707,85.2%,21.8%,37,11.1%,6,1.8%,50.6%,74.6%,54.5%,64.7%,23,65.2%,40.5%,34,35.3%,51.9%,1.15,9:02
,Ben Shelton,USA,6,1127,82.6%,27.1%,81,14.6%,34,6.1%,67.1%,73.9%,51.1%,66.4%,40,60.0%,38.5%,48,54.2%,52.2%,1.14,14:09
16,Cameron Norrie,GBR,3,524,81.4%,28.6%,23,9.0%,12,4.7%,66.8%,70.2%,52.9%,64.5%,25,68.0%,40.7%,28,42.9%,52.3%,1.14,5:56
,Jack Draper,GBR,4,804,89.1%,26.2%,44,10.9%,17,4.2%,57.7%,81.0%,48.2%,67.2%,29,75.9%,37.6%,35,48.6%,52.4%,1.14,10:04
,Roberto Carballes Baena,ESP,2,462,78.4%,25.6%,8,3.6%,6,2.7%,59.1%,71.5%,57.8%,65.9%,14,42.9%,38.4%,23,43.5%,51.5%,1.13,6:06
7,Stefanos Tsitsipas,GRE,2,528,83.7%,20.5%,29,11.1%,11,4.2%,59.5%,82.1%,45.3%,67.2%,16,56.3%,36.5%,22,40.9%,51.7%,1.11,6:00
WC,Rinky Hijikata,AUS,4,865,73.1%,39.1%,20,4.6%,20,4.6%,53.6%,70.6%,46.5%,59.4%,39,53.8%,44.5%,59,42.4%,51.9%,1.10,11:08
23,Nicolas Jarry,CHI,3,618,78.0%,20.0%,45,15.0%,8,2.7%,65.1%,73.5%,48.6%,64.8%,24,54.2%,38.8%,25,40.0%,51.5%,1.10,8:07
,Arthur Rinderknech,FRA,3,526,85.7%,20.0%,42,15.9%,8,3.0%,67.8%,77.7%,42.4%,66.3%,13,53.8%,37.0%,26,30.8%,51.7%,1.10,6:30
Q,Emilio Nava,USA,1,266,86.4%,13.0%,13,10.2%,3,2.3%,72.7%,76.3%,57.1%,71.1%,8,62.5%,31.9%,11,27.3%,50.8%,1.10,3:17
WC,Benjamin Bonzi,FRA,3,820,85.5%,18.5%,42,10.4%,12,3.0%,59.8%,75.2%,54.6%,66.9%,20,50.0%,36.1%,33,36.4%,51.3%,1.09,9:20
26,Daniel Evans,GBR,3,631,83.7%,22.4%,18,5.7%,11,3.5%,57.7%,75.4%,52.2%,65.6%,25,68.0%,37.3%,28,39.3%,51.5%,1.08,8:30
Q,Yu Hsiou Hsu,TPE,2,441,80.0%,17.6%,12,5.6%,5,2.3%,69.8%,70.7%,55.4%,66.0%,20,65.0%,36.7%,31,19.4%,51.0%,1.08,5:20
,Matteo Berrettini,ITA,2,316,92.0%,23.8%,19,11.5%,1,0.6%,61.8%,70.6%,52.4%,63.6%,17,88.2%,39.1%,10,50.0%,51.9%,1.07,4:11
Q,Felipe Meligeni Alves,BRA,2,437,84.4%,15.2%,24,10.9%,6,2.7%,68.3%,73.5%,48.6%,65.6%,19,73.7%,36.1%,21,23.8%,51.0%,1.05,4:46
20,Francisco Cerundolo,ARG,2,593,82.2%,25.5%,22,7.2%,12,3.9%,66.2%,65.8%,58.3%,63.3%,23,65.2%,38.5%,28,42.9%,51.3%,1.05,7:04
,Matteo Arnaldi,ITA,4,731,83.6%,19.7%,24,6.4%,10,2.7%,64.9%,69.4%,55.0%,64.3%,26,61.5%,37.4%,20,60.0%,51.2%,1.05,8:39
WC,Michael Mmoh,USA,3,715,86.0%,15.0%,37,10.5%,16,4.5%,66.4%,78.3%,48.7%,68.4%,17,52.9%,33.2%,20,45.0%,50.6%,1.05,9:21
Q,Dominic Stricker,SUI,4,1101,82.2%,20.0%,47,8.8%,20,3.7%,53.8%,75.7%,53.0%,65.2%,35,54.3%,36.2%,44,40.9%,50.3%,1.04,12:24
22,Adrian Mannarino,FRA,3,750,84.5%,23.4%,30,8.2%,6,1.6%,62.7%,69.9%,55.1%,64.4%,29,69.0%,36.9%,30,50.0%,50.3%,1.04,8:43
,Andy Murray,GBR,2,384,71.4%,25.9%,6,3.4%,10,5.6%,57.3%,68.6%,47.4%,59.6%,17,52.9%,42.2%,34,20.6%,50.3%,1.04,5:44
19,Grigor Dimitrov,BUL,3,808,82.5%,23.0%,33,7.9%,21,5.0%,60.0%,69.6%,56.3%,64.3%,32,65.6%,36.8%,33,42.4%,51.0%,1.03,11:06
,J J Wolf,USA,1,362,67.9%,25.0%,16,9.6%,7,4.2%,61.7%,69.9%,48.4%,61.7%,24,62.5%,39.5%,21,33.3%,49.7%,1.03,4:29
,Miomir Kecmanovic,SRB,1,269,70.0%,28.6%,4,3.1%,8,6.3%,52.3%,64.2%,57.4%,60.9%,18,66.7%,40.4%,13,46.2%,50.2%,1.03,3:13
,Aslan Karatsev,RUS,3,607,80.4%,24.5%,20,6.3%,30,9.4%,52.8%,79.9%,47.0%,64.4%,26,61.5%,36.2%,24,50.0%,51.1%,1.02,7:42
,Daniel Altmaier,GER,2,526,76.9%,35.9%,17,6.0%,10,3.5%,69.6%,65.0%,45.3%,59.0%,40,77.5%,41.6%,26,53.8%,51.0%,1.01,6:53
,Sebastian Baez,ARG,3,626,80.9%,23.9%,10,3.2%,5,1.6%,71.9%,65.3%,51.1%,61.3%,29,69.0%,39.0%,30,36.7%,50.2%,1.01,7:46
,Arthur Fils,FRA,2,663,85.5%,17.0%,35,10.1%,12,3.5%,63.9%,76.9%,42.4%,64.5%,26,69.2%,35.3%,20,45.0%,50.5%,0.99,7:53
,Lorenzo Sonego,ITA,2,330,78.6%,22.2%,9,5.3%,2,1.2%,60.2%,68.9%,55.9%,63.7%,11,45.5%,35.8%,14,42.9%,50.3%,0.99,4:24
,Zhizhen Zhang,CHN,3,879,73.5%,26.1%,43,9.6%,13,2.9%,60.9%,69.5%,46.9%,60.6%,45,60.0%,38.7%,49,36.7%,49.8%,0.98,10:58
17,Hubert Hurkacz,POL,2,478,77.5%,17.1%,27,11.1%,4,1.6%,61.9%,75.5%,45.2%,63.9%,18,50.0%,35.0%,16,43.8%,49.8%,0.97,5:24
,Nuno Borges,POR,1,289,77.3%,21.7%,9,6.3%,7,4.9%,69.7%,66.7%,51.2%,62.0%,9,44.4%,36.7%,10,50.0%,49.1%,0.97,2:55
24,Tallon Griekspoor,NED,1,324,80.0%,14.8%,13,8.4%,8,5.2%,58.1%,77.8%,44.6%,63.9%,11,54.5%,34.9%,15,26.7%,48.8%,0.97,3:58
15,Felix Auger Aliassime,CAN,1,278,85.0%,5.0%,13,10.3%,11,8.7%,60.3%,75.0%,46.0%,63.5%,8,62.5%,35.5%,13,7.7%,48.2%,0.97,3:27
,Ilya Ivashka,BLR,1,300,65.2%,24.0%,10,6.9%,9,6.2%,61.4%,69.7%,37.5%,57.2%,17,52.9%,41.3%,13,46.2%,49.0%,0.97,3:34
,Max Purcell,AUS,1,261,76.2%,19.0%,22,16.9%,4,3.1%,60.8%,77.2%,47.1%,65.4%,14,64.3%,33.6%,11,36.4%,49.4%,0.97,2:52
Q,Jakub Mensik,CZE,3,614,79.6%,15.4%,23,7.8%,10,3.4%,50.9%,74.5%,54.2%,64.5%,16,37.5%,34.0%,20,40.0%,48.5%,0.96,7:19
,Fabian Marozsan,HUN,2,519,77.3%,28.6%,25,9.2%,7,2.6%,65.3%,69.5%,43.6%,60.5%,26,61.5%,37.9%,24,50.0%,49.7%,0.96,5:31
,Quentin Halys,FRA,1,263,85.7%,4.8%,23,19.0%,9,7.4%,60.3%,79.5%,47.9%,66.9%,10,70.0%,31.7%,9,11.1%,47.9%,0.96,2:51
28,Christopher Eubanks,USA,2,475,86.8%,12.8%,29,11.8%,11,4.5%,60.4%,74.3%,51.5%,65.3%,15,66.7%,33.0%,14,35.7%,49.7%,0.95,5:30
Q,Titouan Droguet,FRA,2,563,79.1%,17.1%,22,7.6%,10,3.5%,59.5%,69.8%,50.4%,61.9%,22,59.1%,36.1%,24,29.2%,49.4%,0.95,6:31
,Soon Woo Kwon,KOR,1,221,82.4%,16.7%,13,11.9%,5,4.6%,64.2%,70.0%,46.2%,61.5%,12,75.0%,36.6%,7,42.9%,48.9%,0.95,2:28
Q,Otto Virtanen,FIN,1,350,83.3%,17.9%,12,6.7%,10,5.6%,53.6%,75.0%,47.0%,62.0%,14,71.4%,35.7%,13,38.5%,49.1%,0.94,4:25
WC,Alex Michelsen,USA,2,392,75.0%,26.5%,12,6.3%,4,2.1%,71.2%,66.2%,49.1%,61.3%,15,46.7%,36.3%,18,50.0%,48.5%,0.94,4:47
30,Tomas Martin Etcheverry,ARG,2,629,80.0%,13.3%,24,7.7%,3,1.0%,69.6%,65.1%,54.7%,62.0%,24,58.3%,35.8%,23,26.1%,48.8%,0.94,8:04
,Bernabe Zapata Miralles,ESP,2,338,69.2%,22.2%,4,2.4%,2,1.2%,67.3%,61.3%,53.7%,58.8%,16,50.0%,38.2%,17,35.3%,48.2%,0.93,4:13
18,Lorenzo Musetti,ITA,1,320,72.7%,21.7%,9,5.4%,13,7.8%,55.1%,71.7%,42.7%,58.7%,21,71.4%,38.6%,11,45.5%,49.1%,0.93,3:40
,Richard Gasquet,FRA,1,305,64.0%,12.0%,13,9.0%,5,3.5%,62.5%,68.9%,46.3%,60.4%,16,43.8%,36.6%,12,25.0%,47.9%,0.93,3:18
,Lloyd Harris,RSA,2,382,83.9%,9.7%,32,17.2%,8,4.3%,71.0%,74.2%,48.1%,66.7%,12,58.3%,31.1%,14,21.4%,48.4%,0.93,4:34
,Pavel Kotov,RUS,1,307,59.1%,30.4%,8,4.9%,6,3.7%,57.9%,62.1%,46.4%,55.5%,26,65.4%,40.6%,15,46.7%,48.5%,0.91,3:59
,Jiri Vesely,CZE,3,756,77.8%,17.5%,44,11.7%,26,6.9%,60.1%,75.7%,46.7%,64.1%,29,51.7%,32.4%,23,47.8%,48.1%,0.90,9:28
,Gael Monfils,FRA,2,462,75.7%,20.5%,31,13.2%,25,10.6%,55.7%,78.6%,38.5%,60.9%,21,57.1%,35.2%,18,44.4%,48.3%,0.90,5:30
