median_matches,player_name,current_rank,peak_rank,tour-years_A%,tour-years_DF%,tour-years_1stIn,tour-years_1st%,tour-years_2nd%,winners-errors_Wnr/Pt,winners-errors_UFE/Pt,winners-errors_FH Wnr/Pt,winners-errors_BH Wnr/Pt,serve-speed_1st Avg,serve-speed_1st T Avg,serve-speed_1st Wide Avg,serve-speed_2nd Avg,serve-speed_2nd T Avg,serve-speed_2nd Wide Avg,pbp-stats_Deuce A%,pbp-stats_Deuce SPW%,pbp-stats_Ad A%,pbp-stats_Ad SPW%,pbp-stats_Deuce RPW%,pbp-stats_Ad RPW%,mcp-serve_Percent of points won when return was put in play,mcp-serve_1st: Unret%,mcp-serve_Percent of first serve points won on either the serve or second shot,mcp-serve_Percentage of first serve points won when return was put in play,mcp-serve_D Wide%,mcp-serve_A Wide%,mcp-serve_2nd: Unret%,mcp-serve_Percent of second serve points won on either the serve or second shot,mcp-serve_Percentage of second serve points won when return was put in play,mcp-serve_2ndAgg,mcp-return_RiP%,mcp-return_Percent of points won when return was put in play,mcp-return_Return Depth Index (higher = deeper),mcp-return_Slice/chip returns as a percentage of all in-play first-serve returns,mcp-return_Return winners (and induced forced errors) as a percentage of second-serve return points,mcp-rally_RallyLen,mcp-rally_1-3 W%,mcp-rally_4-6 W%,mcp-rally_7-9 W%,mcp-rally_10+ W%,mcp-rally_FH/GS,mcp-rally_BH Slice%,mcp-rally_FHP/100,mcp-rally_BHP/100,mcp-tactics_SnV Freq,mcp-tactics_SnV W%,mcp-tactics_Net Freq,mcp-tactics_Net W%,mcp-tactics_FH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line forehand,mcp-tactics_IO Wnr%,mcp-tactics_BH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line backhand,mcp-tactics_Drop: Freq,mcp-tactics_Winners (and induced forced errors) per (baseline) dropshot,mcp-tactics_RallyAgg,mcp-tactics_ReturnAgg
218,Jannik Sinner,1,1,7.5%,2.7%,60.1%,74.8%,55.0%,16.7%,16.9%,8.9%,3.7%,118.1,121.6,115.0,94.5,98.4,96.0,7.7%,66.8%,6.6%,66.4%,40.3%,41.2%,56.0%,37.9%,52.0%,59.7%,46.9%,53.8%,16.5%,23.1%,51.4%,27,70.5%,51.8%,2.20,23.7%,4.9%,4.3,53.3%,53.6%,52.3%,54.6%,51.0%,6.2%,6.7,2.5,1.9%,71.1%,10.0%,72.9%,13.9%,19.8%,16.0%,7.2%,26.1%,1.2%,37.4%,-25,-13
199,Carlos Alcaraz,2,1,5.2%,3.0%,65.0%,71.7%,55.7%,19.2%,16.3%,11.4%,4.5%,115.1,119.3,109.7,96.9,98.8,96.8,5.5%,65.7%,4.5%,64.9%,41.2%,41.5%,56.3%,30.8%,46.9%,58.7%,47.6%,48.9%,17.6%,27.4%,52.2%,52,70.7%,52.9%,2.23,12.8%,4.8%,4.0,51.4%,55.3%,54.6%,56.0%,52.8%,16.0%,8.3,2.5,6.1%,75.9%,12.7%,72.1%,17.0%,23.3%,12.3%,8.7%,24.8%,3.1%,41.0%,8,7
298,Alexander Zverev,3,2,10.7%,4.7%,66.7%,74.5%,50.4%,17.1%,16.4%,6.6%,4.2%,125.9,128.6,123.2,101.4,107.4,99.6,10.4%,66.6%,8.7%,64.3%,37.3%,38.6%,53.5%,39.8%,52.7%,56.6%,49.2%,41.7%,17.5%,24.7%,48.2%,46,70.5%,48.5%,2.21,26.1%,3.5%,4.3,51.6%,51.6%,48.5%,50.7%,48.5%,11.7%,3.4,2.8,2.4%,71.1%,11.6%,65.5%,11.0%,15.4%,9.6%,8.2%,25.1%,0.9%,32.0%,-46,-19
129,Taylor Fritz,4,4,11.9%,2.9%,60.1%,76.4%,52.3%,17.7%,14.9%,7.7%,3.2%,119.6,124.3,114.7,94.5,96.2,93.1,11.3%,66.5%,10.4%,65.4%,35.4%,36.0%,53.6%,45.2%,58.9%,58.7%,53.5%,47.2%,15.3%,23.2%,48.2%,24,66.7%,46.3%,2.29,33.6%,5.3%,4.1,51.8%,50.8%,49.6%,47.4%,50.9%,6.0%,5.7,1.5,0.6%,74.5%,7.7%,69.5%,14.1%,22.0%,20.5%,7.2%,24.5%,0.9%,31.9%,-35,-16
596,Novak Djokovic,5,1,7.4%,3.0%,64.9%,74.2%,55.5%,16.3%,15.0%,7.1%,3.9%,114.9,117.6,111.0,93.7,100.0,96.3,6.4%,69.0%,6.0%,67.3%,41.5%,42.6%,56.2%,33.7%,47.1%,59.2%,47.8%,47.7%,17.0%,23.9%,51.4%,46,70.6%,52.5%,2.18,25.2%,4.2%,4.7,52.6%,54.1%,53.8%,53.9%,49.0%,14.2%,7.8,3.1,2.3%,71.5%,11.1%,70.7%,12.6%,15.6%,11.8%,7.4%,17.5%,1.5%,27.9%,-48,-33
37,Jack Draper,6,6,11.0%,3.9%,59.7%,76.5%,51.1%,18.1%,14.5%,8.4%,4.5%,116.6,119.9,113.3,90.2,89.6,89.6,8.5%,64.7%,9.3%,66.1%,38.4%,38.8%,54.1%,40.6%,55.0%,57.7%,34.9%,54.2%,18.1%,26.6%,49.5%,60,67.8%,48.8%,2.25,31.0%,5.8%,4.1,52.2%,48.5%,52.9%,47.1%,49.5%,11.4%,5.8,2.6,4.5%,72.3%,10.1%,69.4%,13.3%,18.6%,10.3%,7.2%,15.8%,2.0%,26.5%,-57,-33
128,Alex De Minaur,7,6,4.9%,3.3%,58.6%,71.0%,53.4%,13.6%,15.6%,7.0%,3.5%,113.3,116.9,108.1,91.8,92.2,89.9,5.3%,64.4%,3.6%,61.5%,38.1%,39.6%,53.6%,30.6%,42.3%,56.9%,45.0%,42.5%,14.8%,20.1%,49.3%,32,71.7%,48.3%,2.30,16.8%,5.7%,5.0,49.7%,50.0%,51.7%,52.2%,47.9%,13.3%,4.3,0.8,1.2%,76.3%,11.6%,70.7%,10.8%,14.3%,5.8%,5.3%,16.8%,0.7%,34.3%,-77,-68
213,Andrey Rublev,8,5,9.0%,3.3%,60.9%,75.1%,51.2%,18.1%,14.7%,9.0%,2.9%,115.2,119.7,110.4,87.7,88.2,86.7,8.6%,65.0%,7.4%,63.9%,36.9%,39.0%,53.0%,40.1%,53.9%,58.8%,50.0%,47.4%,17.6%,24.6%,45.5%,33,64.2%,52.2%,2.30,26.8%,10.1%,3.9,50.4%,53.1%,54.1%,52.7%,50.8%,9.6%,11.4,1.5,0.8%,78.7%,6.6%,70.0%,18.0%,22.2%,16.6%,6.5%,21.0%,0.2%,36.1%,-20,-17
301,Daniil Medvedev,9,1,10.3%,4.8%,61.4%,75.1%,51.1%,16.3%,15.0%,6.2%,4.2%,118.3,121.5,115.0,94.2,101.6,94.9,9.0%,66.2%,9.4%,64.9%,39.5%,40.1%,55.1%,39.8%,52.4%,58.7%,52.7%,46.1%,17.6%,24.0%,50.1%,51,73.5%,49.0%,2.25,30.5%,5.6%,4.8,52.5%,52.4%,51.9%,53.2%,45.6%,7.7%,4.8,3.3,1.6%,66.0%,9.6%,66.1%,10.2%,14.8%,9.6%,6.4%,19.3%,1.2%,29.9%,-87,-56
189,Casper Ruud,10,2,6.7%,2.9%,65.2%,72.2%,54.2%,16.3%,14.3%,8.9%,2.6%,113.7,116.9,108.9,94.4,96.9,93.6,6.5%,65.8%,4.8%,63.4%,37.6%,37.8%,55.5%,33.0%,47.6%,58.9%,47.4%,50.0%,17.4%,24.7%,50.1%,39,71.7%,47.1%,2.26,17.7%,4.9%,4.2,51.9%,51.9%,51.8%,47.9%,55.6%,18.7%,8.4,0.2,1.2%,71.1%,9.4%,70.4%,15.0%,19.0%,11.6%,6.3%,24.8%,1.1%,28.9%,-50,-37
