median_matches,player_name,current_rank,peak_rank,tour-years_A%,tour-years_DF%,tour-years_1stIn,tour-years_1st%,tour-years_2nd%,winners-errors_Wnr/Pt,winners-errors_UFE/Pt,winners-errors_FH Wnr/Pt,winners-errors_BH Wnr/Pt,serve-speed_1st Avg,serve-speed_1st T Avg,serve-speed_1st Wide Avg,serve-speed_2nd Avg,serve-speed_2nd T Avg,serve-speed_2nd Wide Avg,pbp-stats_Deuce A%,pbp-stats_Deuce SPW%,pbp-stats_Ad A%,pbp-stats_Ad SPW%,pbp-stats_Deuce RPW%,pbp-stats_Ad RPW%,mcp-serve_Percent of points won when return was put in play,mcp-serve_1st: Unret%,mcp-serve_Percent of first serve points won on either the serve or second shot,mcp-serve_Percentage of first serve points won when return was put in play,mcp-serve_D Wide%,mcp-serve_A Wide%,mcp-serve_2nd: Unret%,mcp-serve_Percent of second serve points won on either the serve or second shot,mcp-serve_Percentage of second serve points won when return was put in play,mcp-serve_2ndAgg,mcp-return_RiP%,mcp-return_Percent of points won when return was put in play,mcp-return_Return Depth Index (higher = deeper),mcp-return_Slice/chip returns as a percentage of all in-play first-serve returns,mcp-return_Return winners (and induced forced errors) as a percentage of second-serve return points,mcp-rally_RallyLen,mcp-rally_1-3 W%,mcp-rally_4-6 W%,mcp-rally_7-9 W%,mcp-rally_10+ W%,mcp-rally_FH/GS,mcp-rally_BH Slice%,mcp-rally_FHP/100,mcp-rally_BHP/100,mcp-tactics_SnV Freq,mcp-tactics_SnV W%,mcp-tactics_Net Freq,mcp-tactics_Net W%,mcp-tactics_FH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line forehand,mcp-tactics_IO Wnr%,mcp-tactics_BH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line backhand,mcp-tactics_Drop: Freq,mcp-tactics_Winners (and induced forced errors) per (baseline) dropshot,mcp-tactics_RallyAgg,mcp-tactics_ReturnAgg
453,Aryna Sabalenka,1,1,6.7%,6.6%,60.8%,69.4%,47.7%,20.0%,19.1%,11.0%,6.9%,106.6,110.6,104.7,90.8,96.2,92.8,6.0%,60.7%,6.0%,59.7%,44.2%,45.7%,50.9%,33.9%,50.7%,53.7%,42.3%,55.1%,20.5%,33.5%,46.5%,76,69.1%,56.6%,2.51,19.2%,8.1%,3.2,51.7%,55.2%,52.3%,55.8%,50.4%,11.2%,12.2,7.9,0.6%,64.4%,8.5%,71.7%,22.4%,30.8%,26.9%,17.0%,37.3%,1.4%,40.4%,123,114
314,Iga Swiatek,2,1,3.5%,3.4%,63.1%,67.9%,52.8%,17.1%,17.9%,9.2%,6.0%,101.4,103.3,96.5,81.1,82.0,80.9,3.6%,62.5%,3.0%,62.2%,47.6%,49.4%,52.9%,28.1%,40.6%,55.4%,10.8%,54.9%,18.1%,26.5%,48.6%,7,72.5%,59.3%,2.46,9.8%,8.5%,3.9,54.1%,55.7%,57.9%,59.4%,50.8%,4.8%,10.8,8.6,0.1%,70.6%,6.6%,74.8%,18.3%,27.7%,22.2%,13.0%,29.3%,0.6%,33.5%,51,45
118,Jessica Pegula,3,3,3.7%,3.7%,59.9%,65.9%,49.5%,13.5%,16.6%,6.6%,4.7%,99.2,101.6,92.4,81.1,83.2,79.8,3.8%,57.8%,2.3%,55.8%,44.1%,45.4%,47.1%,27.4%,38.0%,51.9%,15.0%,35.7%,18.1%,22.0%,40.1%,9,70.4%,54.7%,2.55,13.1%,14.2%,4.0,51.1%,50.2%,51.1%,49.3%,49.5%,16.8%,7.1,5.7,0.0%,50.0%,7.7%,64.2%,13.6%,23.4%,14.8%,10.1%,26.5%,1.5%,32.5%,-15,-6
142,Coco Gauff,4,2,5.7%,7.6%,60.8%,68.6%,45.0%,14.0%,19.0%,6.1%,5.0%,105.3,109.6,99.5,86.3,86.1,87.8,5.5%,59.1%,4.9%,58.6%,43.3%,45.4%,50.1%,31.7%,43.2%,53.6%,29.2%,20.6%,20.1%,25.3%,44.2%,67,75.6%,52.5%,2.43,15.8%,6.5%,4.2,51.8%,51.4%,50.5%,51.7%,56.5%,7.9%,2.2,6.3,0.4%,60.6%,8.9%,67.7%,9.7%,14.6%,9.8%,12.0%,27.5%,1.1%,33.4%,-17,11
118,Madison Keys,5,5,7.2%,3.4%,63.5%,68.5%,48.3%,19.6%,21.3%,10.2%,4.6%,104.1,107.4,99.1,80.3,82.0,83.1,7.1%,61.5%,6.3%,61.9%,43.1%,43.8%,46.7%,35.0%,47.8%,49.8%,34.6%,61.1%,17.3%,26.2%,41.9%,-4,68.3%,54.8%,2.41,16.9%,8.2%,3.5,51.3%,50.1%,49.2%,52.2%,51.7%,10.1%,8.5,-00,0.1%,60.0%,7.2%,66.8%,18.5%,30.8%,22.7%,11.4%,26.3%,0.8%,30.1%,106,94
75,Jasmine Paolini,6,4,1.5%,2.9%,67.1%,60.3%,47.1%,13.3%,17.5%,8.2%,4.1%,96.4,100.1,93.5,79.6,81.6,81.8,1.2%,54.8%,0.9%,54.4%,45.3%,45.4%,47.7%,21.5%,31.8%,50.4%,17.6%,52.6%,16.3%,20.8%,42.0%,-8,74.1%,53.7%,2.53,8.4%,11.6%,4.2,49.2%,50.0%,55.0%,50.2%,53.7%,7.1%,6.4,3.6,0.3%,71.4%,8.0%,70.2%,14.5%,22.1%,8.9%,9.0%,28.1%,0.9%,35.2%,6,-3
56,Mirra Andreeva,7,6,4.3%,3.9%,62.9%,65.3%,49.2%,15.7%,18.4%,7.2%,7.1%,101.4,105.3,92.7,81.0,80.6,84.1,5.5%,58.0%,3.2%,57.3%,46.7%,44.3%,49.2%,25.9%,35.5%,51.9%,11.6%,41.8%,15.7%,20.9%,45.1%,24,77.1%,54.0%,2.48,14.3%,8.8%,4.6,52.1%,51.1%,50.8%,52.7%,48.6%,9.3%,5.2,4.7,0.0%,100.0%,7.0%,65.4%,10.7%,13.9%,13.9%,10.6%,24.4%,1.9%,44.1%,-34,-21
80,Qinwen Zheng,8,5,9.3%,6.1%,52.4%,74.4%,45.8%,17.2%,18.9%,9.2%,4.4%,105.3,107.0,103.1,83.8,85.9,85.4,9.4%,59.9%,8.2%,58.0%,43.3%,44.3%,46.4%,40.5%,54.3%,54.7%,28.0%,49.0%,17.7%,23.9%,38.9%,53,71.3%,55.3%,2.39,24.0%,14.0%,3.8,50.9%,51.5%,51.0%,51.7%,55.5%,7.4%,7.6,3.1,0.5%,70.8%,6.5%,70.3%,15.3%,21.8%,14.4%,9.6%,25.6%,1.2%,45.6%,27,47
81,Paula Badosa,9,2,5.6%,6.6%,60.7%,67.7%,46.2%,14.3%,15.8%,6.9%,4.0%,102.2,106.6,96.1,88.8,89.9,88.9,4.3%,59.1%,3.7%,56.4%,43.9%,45.5%,48.3%,29.7%,40.9%,51.0%,44.4%,57.1%,18.3%,26.0%,43.7%,54,74.6%,50.2%,2.44,13.7%,10.1%,4.1,51.7%,49.3%,47.0%,47.2%,51.2%,7.0%,7.3,3.7,0.0%,-,5.6%,68.5%,13.7%,21.0%,18.0%,9.7%,27.8%,0.4%,36.0%,-41,-11
142,Elena Rybakina,10,3,8.5%,4.2%,58.2%,71.5%,49.1%,18.1%,18.4%,8.5%,5.2%,109.3,112.3,106.0,89.7,93.2,88.5,7.7%,61.1%,6.5%,60.7%,44.2%,44.4%,48.6%,38.7%,53.5%,52.6%,13.4%,58.1%,17.8%,26.8%,44.0%,19,70.5%,53.0%,2.43,22.8%,10.8%,3.5,53.2%,50.7%,49.1%,52.1%,52.5%,6.6%,7.3,5.1,0.1%,66.7%,7.9%,67.1%,17.6%,29.1%,11.3%,12.7%,31.8%,0.7%,43.2%,60,68
