Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
1,Novak Djokovic,SRB,7,1508,83.6%,47.8%,58,8.2%,15,2.1%,59.9%,71.8%,58.1%,66.3%,48,60.4%,48.4%,110,50.0%,56.8%,1.44,20:51
3,Roger Federer,SUI,6,1005,88.6%,28.6%,51,10.8%,11,2.3%,61.4%,77.7%,60.1%,70.9%,33,72.7%,40.9%,47,46.8%,55.0%,1.40,11:20
4,Andy Murray,GBR,6,1170,81.1%,42.5%,41,7.3%,22,3.9%,58.6%,70.6%,53.2%,63.4%,52,67.3%,47.4%,93,39.8%,55.1%,1.30,14:50
2,Rafael Nadal,ESP,7,1586,86.9%,30.6%,37,4.8%,12,1.6%,71.6%,74.0%,53.7%,68.2%,58,72.4%,40.8%,85,44.7%,54.0%,1.28,22:26
23,Milos Raonic,CAN,3,662,90.4%,24.1%,53,17.3%,16,5.2%,55.7%,80.1%,53.7%,68.4%,21,76.2%,39.7%,27,48.1%,53.0%,1.26,7:32
17,Richard Gasquet,FRA,4,650,76.4%,40.4%,22,7.2%,7,2.3%,64.5%,68.2%,55.0%,63.5%,18,27.8%,46.1%,49,42.9%,54.3%,1.26,7:34
5,David Ferrer,ESP,5,955,80.5%,40.3%,16,3.4%,14,3.0%,63.0%,71.5%,49.7%,63.5%,35,57.1%,45.8%,45,68.9%,54.5%,1.25,11:51
7,Tomas Berdych,CZE,5,1220,90.4%,16.7%,86,14.1%,22,3.6%,56.7%,82.6%,55.3%,70.8%,31,71.0%,35.8%,48,31.3%,53.3%,1.23,15:43
11,Juan Martin del Potro,ARG,5,881,81.4%,38.4%,43,9.8%,16,3.6%,61.3%,73.6%,48.8%,64.0%,27,51.9%,44.1%,52,53.8%,54.0%,1.23,11:38
,Philipp Petzschner,GER,2,397,80.6%,35.5%,20,10.5%,6,3.2%,54.7%,81.7%,43.0%,64.2%,8,25.0%,44.0%,25,44.0%,53.7%,1.23,4:20
,Philipp Kohlschreiber,GER,4,706,80.4%,31.6%,17,4.9%,6,1.7%,58.5%,75.0%,51.7%,65.3%,29,62.1%,42.3%,31,58.1%,53.7%,1.22,9:09
13,Alexandr Dolgopolov,UKR,3,867,79.4%,31.9%,53,13.5%,8,2.0%,54.3%,77.0%,50.8%,65.1%,30,53.3%,42.3%,55,40.0%,52.6%,1.21,9:37
,Matthew Ebden,AUS,2,452,74.3%,29.4%,16,7.4%,5,2.3%,67.4%,73.8%,44.3%,64.2%,21,57.1%,43.0%,28,35.7%,53.1%,1.20,5:18
15,Andy Roddick,USA,2,323,85.2%,29.6%,21,12.4%,3,1.8%,66.3%,70.5%,57.9%,66.3%,12,66.7%,39.0%,18,44.4%,53.3%,1.16,3:55
10,Nicolas Almagro,ESP,4,1080,87.7%,24.4%,47,9.1%,9,1.7%,62.0%,72.7%,57.9%,67.1%,31,67.7%,38.3%,59,33.9%,52.1%,1.16,12:52
8,Mardy Fish,USA,2,388,83.3%,25.8%,16,9.1%,2,1.1%,61.7%,74.1%,55.2%,66.9%,9,44.4%,38.5%,24,33.3%,51.3%,1.16,5:03
,Andreas Beck,GER,2,253,85.0%,30.0%,2,1.6%,8,6.3%,62.7%,73.4%,48.9%,64.3%,10,70.0%,40.9%,14,42.9%,52.6%,1.15,2:32
,Steve Darcis,BEL,1,209,80.0%,35.7%,4,3.9%,1,1.0%,75.5%,64.9%,48.0%,60.8%,10,70.0%,44.9%,13,38.5%,52.6%,1.14,2:31
,David Nalbandian,ARG,2,470,83.3%,23.7%,10,4.5%,5,2.3%,62.4%,69.6%,59.0%,65.6%,14,57.1%,39.4%,20,45.0%,51.7%,1.14,5:48
12,Gilles Simon,FRA,2,599,73.9%,36.2%,16,5.2%,5,1.6%,59.7%,64.8%,56.1%,61.3%,29,58.6%,43.5%,29,58.6%,52.6%,1.13,7:32
,Sam Querrey,USA,2,389,90.6%,21.9%,35,17.6%,11,5.5%,60.3%,86.7%,44.3%,69.8%,15,80.0%,34.2%,11,63.6%,52.4%,1.13,3:39
