Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Novak Djokovic[SRB] [yr|ev],d.,4,(4)Daniil Medvedev[RUS] [yr|ev],7-5 6-2 6-2,1.38,3.8%,66.7%,73.1%,57.7%,2/4,7.8%,63.6%,69.4%,32.1%,4/11,1:53,1
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,114,(Q)Aslan Karatsev[RUS] [yr|ev],6-3 6-4 6-2,1.56,21.0%,67.9%,70.9%,61.5%,3/5,9.1%,51.5%,64.7%,34.4%,1/7,1:53,1
SF,4,(4)Daniil Medvedev[RUS] [yr|ev],d.,6,(5)Stefanos Tsitsipas[GRE] [yr|ev],6-4 6-2 7-5,1.74,20.7%,68.3%,87.5%,46.2%,2/3,3.0%,69.3%,61.4%,41.9%,4/9,2:09,1
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,7,(6)Alexander Zverev[GER] [yr|ev],6-7(6) 6-2 6-4 7-6(6),0.99,14.2%,73.5%,72.3%,44.2%,9/12,16.7%,64.3%,74.1%,48.9%,3/9,3:30,1
QF,114,(Q)Aslan Karatsev[RUS] [yr|ev],d.,21,(18)Grigor Dimitrov[BUL] [yr|ev],2-6 6-4 6-1 6-2,1.21,8.6%,55.2%,67.2%,55.3%,10/14,9.2%,64.3%,60.3%,42.9%,3/11,2:32,14
QF,4,(4)Daniil Medvedev[RUS] [yr|ev],d.,8,(7)Andrey Rublev[RUS] [yr|ev],7-5 6-3 6-2,1.32,15.6%,60.0%,79.6%,52.8%,4/5,9.4%,47.1%,62.5%,55.6%,6/11,2:05,1
QF,6,(5)Stefanos Tsitsipas[GRE] [yr|ev],d.,2,(2)Rafael Nadal[ESP] [yr|ev],3-6 2-6 7-6(4) 6-4 7-5,1.14,12.5%,61.8%,78.6%,69.2%,1/4,9.9%,68.2%,77.7%,58.3%,3/5,4:05,3
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,14,(14)Milos Raonic[CAN] [yr|ev],7-6(4) 4-6 6-1 6-4,1.24,8.3%,67.8%,78.0%,59.0%,2/3,21.1%,61.0%,76.0%,47.9%,8/11,2:56,1
R16,7,(6)Alexander Zverev[GER] [yr|ev],d.,27,(23)Dusan Lajovic[SRB] [yr|ev],6-4 7-6(5) 6-3,1.33,15.5%,72.2%,75.7%,51.9%,1/3,0.9%,70.2%,61.3%,52.9%,10/14,2:21,2
R16,21,(18)Grigor Dimitrov[BUL] [yr|ev],d.,3,(3)Dominic Thiem[AUT] [yr|ev],6-4 6-4 6-0,1.56,13.2%,68.4%,71.2%,58.3%,5/7,1.9%,72.8%,54.7%,32.1%,8/15,2:01,3
