Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
5,Carlos Moya,ESP,5,922,83.8%,37.5%,39,8.7%,17,3.8%,52.5%,80.0%,51.2%,66.3%,26,53.8%,44.5%,50,54.0%,55.1%,1.32,9:54
17,Tommy Robredo,ESP,4,782,81.4%,36.7%,21,5.9%,17,4.7%,53.9%,72.5%,56.4%,65.1%,30,63.3%,44.6%,58,37.9%,54.0%,1.28,9:01
31,Dominik Hrbaty,SVK,2,330,88.9%,20.0%,11,7.1%,6,3.9%,63.9%,74.7%,62.5%,70.3%,8,62.5%,37.7%,13,38.5%,53.0%,1.27,3:20
3,Guillermo Coria,ARG,7,1276,73.5%,53.0%,16,2.6%,23,3.8%,69.1%,64.0%,52.1%,60.4%,47,44.7%,49.9%,105,50.5%,54.9%,1.26,15:18
22,Juan Ignacio Chela,ARG,5,990,76.3%,38.0%,11,2.3%,11,2.3%,63.0%,66.8%,56.7%,63.0%,41,53.7%,45.5%,62,48.4%,54.1%,1.23,11:27
,Nicolas Escude,FRA,4,641,80.4%,38.5%,28,8.9%,13,4.1%,54.1%,75.4%,53.1%,65.2%,26,61.5%,42.8%,40,50.0%,53.8%,1.23,7:02
WC,Michael Llodra,FRA,4,960,88.2%,26.3%,28,5.9%,11,2.3%,61.2%,75.2%,54.3%,67.1%,31,71.0%,40.1%,47,42.6%,53.4%,1.22,9:45
1,Roger Federer,SUI,3,549,82.9%,33.3%,19,6.9%,15,5.5%,58.2%,76.9%,47.8%,64.7%,27,74.1%,42.7%,29,48.3%,53.7%,1.21,5:51
,David Ferrer,ESP,2,349,65.5%,50.0%,6,3.3%,8,4.4%,63.2%,60.9%,50.7%,57.1%,24,58.3%,50.9%,22,68.2%,54.2%,1.19,3:59
9,Tim Henman,GBR,6,1421,80.4%,32.1%,39,5.7%,27,3.9%,58.1%,74.0%,51.2%,64.4%,49,55.1%,42.5%,74,48.6%,53.1%,1.19,16:03
,Igor Andreev,RUS,4,735,70.0%,42.1%,7,1.9%,13,3.6%,65.5%,63.7%,52.0%,59.7%,35,48.6%,47.5%,43,55.8%,53.5%,1.18,8:11
,Gaston Gaudio,ARG,7,1664,68.5%,48.1%,19,2.4%,19,2.4%,63.7%,60.9%,54.9%,58.7%,82,50.0%,48.5%,109,56.9%,53.5%,1.18,19:49
26,Albert Costa,ESP,3,739,73.3%,45.8%,10,2.7%,9,2.4%,58.6%,66.7%,49.7%,59.6%,31,48.4%,47.1%,50,54.0%,53.5%,1.17,9:44
8,David Nalbandian,ARG,6,1481,72.1%,38.5%,31,4.3%,28,3.8%,60.6%,65.8%,52.3%,60.5%,69,55.1%,45.6%,87,48.3%,52.9%,1.15,17:01
11,Nicolas Massu,CHI,3,500,75.6%,29.3%,19,7.9%,8,3.3%,60.3%,71.9%,51.0%,63.6%,27,63.0%,41.5%,27,44.4%,52.2%,1.14,6:31
,Karol Kucera,SVK,2,436,86.1%,10.8%,4,1.9%,12,5.7%,69.2%,78.1%,49.2%,69.2%,15,66.7%,35.1%,16,25.0%,51.6%,1.14,4:58
,Alex Corretja,ESP,3,705,72.5%,39.6%,12,3.9%,13,4.2%,51.8%,66.3%,54.4%,60.5%,32,56.3%,45.2%,50,42.0%,51.9%,1.14,8:28
28,Gustavo Kuerten,BRA,5,1110,78.4%,32.2%,46,8.6%,11,2.1%,53.7%,70.8%,55.6%,63.8%,39,51.3%,40.9%,71,39.4%,52.0%,1.13,11:41
,Olivier Mutis,FRA,4,897,76.1%,41.8%,18,3.8%,10,2.1%,56.4%,67.2%,50.2%,59.8%,49,67.3%,45.0%,49,57.1%,52.7%,1.12,9:37
19,Martin Verkerk,NED,3,675,81.5%,26.4%,46,13.3%,26,7.5%,63.5%,74.4%,47.6%,64.6%,26,61.5%,39.7%,34,41.2%,52.4%,1.12,7:32
,Radek Stepanek,CZE,1,360,70.4%,28.6%,13,8.2%,9,5.7%,56.6%,71.1%,50.7%,62.3%,13,38.5%,42.3%,23,34.8%,51.1%,1.12,4:03
,Luis Horna,PER,2,477,77.8%,32.4%,4,1.7%,7,2.9%,69.2%,65.1%,52.7%,61.3%,23,65.2%,43.0%,23,47.8%,52.2%,1.11,5:13
21,Andrei Pavel,ROU,2,422,66.7%,41.4%,1,0.5%,4,1.9%,72.8%,64.5%,41.4%,58.2%,23,56.5%,46.4%,29,41.4%,52.4%,1.11,4:20
10,Sebastien Grosjean,FRA,2,389,70.4%,42.9%,8,3.9%,3,1.5%,56.1%,65.2%,48.9%,58.0%,21,61.9%,46.2%,21,57.1%,52.4%,1.10,4:25
12,Lleyton Hewitt,AUS,5,1129,72.1%,38.4%,26,4.7%,28,5.0%,54.2%,68.0%,48.4%,59.0%,64,62.5%,45.3%,61,54.1%,52.1%,1.10,13:31
,Irakli Labadze,GEO,2,519,76.9%,23.1%,8,3.3%,21,8.6%,67.5%,72.0%,45.6%,63.4%,20,55.0%,40.2%,26,34.6%,51.1%,1.10,6:20
Q,Potito Starace,ITA,3,778,78.9%,30.4%,4,1.0%,10,2.5%,76.8%,66.9%,48.9%,62.7%,34,64.7%,40.9%,37,45.9%,52.1%,1.10,8:46
