Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Rafael Nadal[ESP] [yr|ev],d.,1,(1)Novak Djokovic[SRB] [yr|ev],6-4 6-3 2-6 7-5,1.10,3.4%,61.9%,61.6%,53.3%,3/10,2.4%,59.3%,61.6%,44.0%,8/17,3:49,1
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,3,(3)Roger Federer[SUI] [yr|ev],6-4 7-5 6-3,1.39,6.6%,68.1%,72.6%,48.3%,4/8,10.5%,55.8%,56.3%,44.7%,3/10,2:05,1
SF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,6,(6)David Ferrer[ESP] [yr|ev],6-2 6-2 6-1,2.03,3.1%,60.0%,84.6%,57.7%,2/2,1.5%,56.1%,51.4%,41.4%,3/10,1:46,1
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,5,(5)Jo-Wilfried Tsonga[FRA] [yr|ev],6-1 5-7 5-7 7-6(6) 6-1,1.21,4.1%,67.5%,71.1%,52.7%,7/11,3.8%,67.9%,65.1%,42.0%,7/13,4:09,1
QF,3,(3)Roger Federer[SUI] [yr|ev],d.,9,(9)Juan Martin del Potro[ARG] [yr|ev],3-6 6-7(4) 6-2 6-0 6-3,1.26,8.0%,58.0%,68.8%,60.3%,6/10,4.4%,59.3%,73.8%,30.9%,10/18,3:14,1
QF,6,(6)David Ferrer[ESP] [yr|ev],d.,4,(4)Andy Murray[GBR] [yr|ev],6-4 6-7(3) 6-3 6-2,1.18,2.1%,63.8%,67.8%,39.2%,10/15,1.9%,53.2%,59.5%,39.2%,9/19,3:45,3
QF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,13,(12)Nicolas Almagro[ESP] [yr|ev],7-6(4) 6-2 6-3,1.42,9.9%,66.3%,83.6%,50.0%,4/4,3.8%,63.5%,69.7%,44.7%,3/6,2:46,1
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,25,(22)Andreas Seppi[ITA] [yr|ev],4-6 6-7(5) 6-3 7-5 6-3,1.30,3.5%,63.2%,69.2%,60.4%,4/10,2.9%,54.9%,56.6%,54.8%,13/22,4:18,1
R16,5,(5)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,21,(18)Stan Wawrinka[SUI] [yr|ev],6-4 7-6(6) 3-6 3-6 6-4,1.02,2.4%,64.0%,67.6%,50.8%,11/17,2.3%,63.2%,70.9%,43.8%,8/13,4:06,5
R16,3,(3)Roger Federer[SUI] [yr|ev],d.,109,(LL)David Goffin[BEL] [yr|ev],5-7 7-5 6-2 6-4,1.48,9.6%,60.8%,81.6%,63.3%,7/8,2.7%,58.0%,64.4%,58.7%,9/13,2:54,1
R16,9,(9)Juan Martin del Potro[ARG] [yr|ev],d.,7,(7)Tomas Berdych[CZE] [yr|ev],7-6(6) 1-6 6-3 7-5,1.08,6.3%,64.6%,69.5%,51.1%,9/14,9.0%,60.9%,67.9%,48.1%,10/15,3:26,3
R16,6,(6)David Ferrer[ESP] [yr|ev],d.,23,(20)Marcel Granollers[ESP] [yr|ev],6-3 6-2 6-0,2.14,0.0%,71.4%,80.0%,65.0%,3/3,0.0%,69.6%,60.0%,20.8%,8/14,1:51,3
R16,4,(4)Andy Murray[GBR] [yr|ev],d.,20,(17)Richard Gasquet[FRA] [yr|ev],1-6 6-4 6-1 6-2,1.47,8.7%,65.2%,78.3%,53.1%,6/9,1.9%,72.0%,61.0%,40.0%,6/12,2:30,1
R16,13,(12)Nicolas Almagro[ESP] [yr|ev],d.,8,(8)Janko Tipsarevic[SRB] [yr|ev],6-4 6-4 6-4,1.37,10.6%,50.6%,76.7%,61.9%,3/5,3.0%,69.0%,65.2%,41.9%,7/12,2:13,9
R16,2,(2)Rafael Nadal[ESP] [yr|ev],d.,15,(13)Juan Monaco[ARG] [yr|ev],6-2 6-0 6-0,2.08,3.1%,69.2%,68.9%,75.0%,2/2,0.0%,72.1%,47.7%,17.6%,2/10,1:46,1
R32,1,(1)Novak Djokovic[SRB] [yr|ev],d.,286,(Q)Nicolas Devilder[FRA] [yr|ev],6-1 6-2 6-2,1.84,3.9%,64.9%,72.0%,66.7%,3/4,7.0%,57.7%,58.5%,26.7%,3/10,1:44,1
R32,25,(22)Andreas Seppi[ITA] [yr|ev],d.,16,(14)Fernando Verdasco[ESP] [yr|ev],7-5 3-6 6-3 4-6 6-2,1.08,5.6%,64.8%,71.7%,52.0%,6/11,8.8%,68.6%,68.1%,48.8%,4/11,3:23,18
R32,21,(18)Stan Wawrinka[SUI] [yr|ev],d.,12,(11)Gilles Simon[FRA] [yr|ev],7-5 6-7(5) 6-7(3) 6-3 6-2,1.15,4.9%,59.3%,72.2%,50.0%,6/11,1.1%,52.8%,68.4%,45.9%,10/19,4:37,3
R32,5,(5)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,45,Fabio Fognini[ITA] [yr|ev],7-5 6-4 6-4,1.19,7.5%,64.5%,71.7%,36.4%,3/8,0.0%,72.0%,51.9%,50.0%,7/15,2:28,5
R32,3,(3)Roger Federer[SUI] [yr|ev],d.,89,Nicolas Mahut[FRA] [yr|ev],6-3 4-6 6-2 7-5,1.69,6.7%,57.7%,81.7%,65.9%,1/3,1.6%,65.6%,63.1%,47.7%,9/14,2:37,1
R32,109,(LL)David Goffin[BEL] [yr|ev],d.,49,Lukasz Kubot[POL] [yr|ev],7-6(4) 7-5 6-1,1.42,2.1%,61.7%,77.6%,58.3%,5/7,5.2%,68.0%,65.2%,41.9%,7/12,2:32,7
