Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Roger Federer[SUI] [yr|ev],d.,3,(3)Novak Djokovic[SRB] [yr|ev],7-6(4) 7-6(2) 6-4,1.32,10.4%,62.3%,78.8%,62.5%,7/9,4.3%,55.2%,70.3%,55.8%,2/5,2:24,1
SF,1,(1)Roger Federer[SUI] [yr|ev],d.,4,(4)Nikolay Davydenko[RUS] [yr|ev],7-5 6-1 7-5,1.24,9.3%,54.6%,66.1%,46.9%,9/14,1.0%,66.7%,54.4%,32.4%,16/25,2:18,1
SF,3,(3)Novak Djokovic[SRB] [yr|ev],d.,15,(15)David Ferrer[ESP] [yr|ev],6-4 6-4 6-3,1.33,9.9%,65.9%,68.3%,61.3%,1/3,5.2%,73.2%,60.6%,38.5%,5/11,2:12,1
QF,1,(1)Roger Federer[SUI] [yr|ev],d.,5,(5)Andy Roddick[USA] [yr|ev],7-6(5) 7-6(4) 6-2,1.36,14.9%,61.4%,80.6%,71.8%,1/1,13.6%,71.8%,77.0%,48.3%,2/4,2:01,1
QF,4,(4)Nikolay Davydenko[RUS] [yr|ev],d.,10,(10)Tommy Haas[GER] [yr|ev],6-3 6-3 6-4,1.33,8.5%,72.0%,71.2%,39.1%,5/9,8.8%,61.9%,62.9%,27.9%,9/17,2:21,3
QF,3,(3)Novak Djokovic[SRB] [yr|ev],d.,17,(17)Carlos Moya[ESP] [yr|ev],6-4 7-6(7) 6-1,1.65,10.8%,68.7%,78.9%,61.5%,2/3,1.8%,57.0%,69.2%,38.8%,12/17,2:18,1
QF,15,(15)David Ferrer[ESP] [yr|ev],d.,22,(20)Juan Ignacio Chela[ARG] [yr|ev],6-2 6-3 7-5,1.55,3.8%,66.3%,77.4%,66.7%,1/2,2.1%,63.5%,59.0%,60.0%,11/16,2:03,3
R16,1,(1)Roger Federer[SUI] [yr|ev],d.,60,Feliciano Lopez[ESP] [yr|ev],3-6 6-4 6-1 6-4,2.19,12.9%,72.9%,80.6%,87.0%,3/4,11.4%,56.1%,76.6%,42.0%,8/12,1:58,1
R16,5,(5)Andy Roddick[USA] [yr|ev],d.,9,(9)Tomas Berdych[CZE] [yr|ev],7-6(6) 2-0 RET,1.50,23.8%,73.8%,74.2%,54.5%,0/2,3.6%,50.0%,71.4%,35.7%,2/5,1:00,1
R16,4,(4)Nikolay Davydenko[RUS] [yr|ev],d.,43,Hyung Taik Lee[KOR] [yr|ev],6-1 6-3 6-4,1.67,10.4%,66.2%,76.5%,65.4%,2/2,5.0%,66.3%,59.7%,44.1%,15/20,2:03,3
R16,10,(10)Tommy Haas[GER] [yr|ev],d.,6,(6)James Blake[USA] [yr|ev],4-6 6-4 3-6 6-0 7-6(4),1.02,10.7%,62.7%,66.0%,50.8%,12/18,13.8%,55.1%,69.7%,46.8%,4/11,3:16,2
R16,17,(17)Carlos Moya[ESP] [yr|ev],d.,88,Ernests Gulbis[LAT] [yr|ev],7-5 6-2 6-7(5) 6-4,1.68,6.3%,64.9%,83.3%,69.2%,0/1,9.1%,70.6%,67.3%,54.8%,11/16,2:23,1
R16,3,(3)Novak Djokovic[SRB] [yr|ev],d.,23,(23)Juan Monaco[ARG] [yr|ev],7-5 7-6(2) 6-7(6) 6-1,1.16,9.2%,57.2%,79.3%,44.6%,5/8,2.1%,60.0%,65.5%,48.3%,8/14,3:51,1
R16,22,(20)Juan Ignacio Chela[ARG] [yr|ev],d.,49,Stan Wawrinka[SUI] [yr|ev],4-6 6-2 7-6(6) 1-6 6-4,0.98,1.4%,54.9%,65.4%,48.4%,4/12,6.2%,48.3%,68.6%,49.3%,1/8,3:38,15
R16,15,(15)David Ferrer[ESP] [yr|ev],d.,2,(2)Rafael Nadal[ESP] [yr|ev],6-7(3) 6-4 7-6(4) 6-2,1.26,4.0%,66.9%,69.9%,61.0%,2/6,1.4%,69.8%,64.9%,42.9%,7/14,3:26,3
R32,1,(1)Roger Federer[SUI] [yr|ev],d.,184,(WC)John Isner[USA] [yr|ev],6-7(4) 6-2 6-4 6-2,1.69,9.3%,66.4%,80.3%,72.2%,1/1,14.0%,72.7%,68.2%,45.5%,4/9,2:15,1
R32,60,Feliciano Lopez[ESP] [yr|ev],d.,223,(WC)Donald Young[USA] [yr|ev],3-6 6-3 7-6(5) 7-5,1.05,15.4%,61.5%,80.0%,46.0%,7/9,8.1%,61.3%,72.4%,54.2%,3/6,2:39,12
R32,9,(9)Tomas Berdych[CZE] [yr|ev],d.,34,Fernando Verdasco[ESP] [yr|ev],7-6(2) 6-1 7-6(3),1.44,10.1%,53.5%,84.9%,56.5%,6/7,3.0%,63.4%,65.6%,48.6%,2/6,2:17,4
R32,5,(5)Andy Roddick[USA] [yr|ev],d.,68,Thomas Johansson[SWE] [yr|ev],6-3 6-2 6-0,1.98,29.2%,67.7%,81.8%,61.9%,2/2,6.6%,63.2%,60.4%,35.7%,4/10,1:22,1
R32,4,(4)Nikolay Davydenko[RUS] [yr|ev],d.,28,(28)Nicolas Almagro[ESP] [yr|ev],7-5 6-0 7-5,1.43,3.3%,74.4%,71.6%,52.2%,1/3,7.0%,58.3%,62.7%,37.5%,15/22,2:26,3
R32,43,Hyung Taik Lee[KOR] [yr|ev],d.,19,(19)Andy Murray[GBR] [yr|ev],6-3 6-3 2-6 7-5,1.21,4.3%,64.1%,73.3%,47.6%,3/7,10.6%,53.2%,60.0%,53.0%,10/16,2:43,36
R32,10,(10)Tommy Haas[GER] [yr|ev],d.,78,Sebastien Grosjean[FRA] [yr|ev],6-2 6-4 3-6 4-6 6-3,1.30,4.7%,57.5%,80.8%,53.7%,2/5,9.2%,53.4%,75.9%,42.1%,20/25,3:14,2
R32,6,(6)James Blake[USA] [yr|ev],d.,63,Stefan Koubek[AUT] [yr|ev],6-4 3-6 7-6(5) 6-1,1.07,4.9%,50.8%,66.1%,43.3%,8/15,4.4%,64.2%,62.5%,32.7%,8/18,2:37,4
R32,88,Ernests Gulbis[LAT] [yr|ev],d.,8,(8)Tommy Robredo[ESP] [yr|ev],6-1 6-3 6-2,2.09,7.6%,69.7%,80.4%,65.0%,3/3,1.3%,73.3%,43.6%,65.0%,4/10,1:29,10
