Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
8,Andy Roddick,USA,5,958,90.0%,28.7%,78,17.4%,17,3.8%,66.2%,81.4%,57.0%,73.2%,13,38.5%,38.0%,54,42.6%,54.4%,1.41,10:22
2,Roger Federer,SUI,7,1501,92.4%,28.4%,86,11.9%,12,1.7%,65.9%,77.6%,57.9%,70.9%,38,76.3%,40.4%,79,41.8%,55.1%,1.39,15:42
,Agustin Calleri,ARG,2,339,88.9%,28.6%,29,18.1%,5,3.1%,48.8%,89.7%,47.6%,68.1%,9,66.7%,41.9%,13,61.5%,54.3%,1.31,3:50
18,Nicolas Almagro,ESP,3,744,96.7%,14.0%,57,15.7%,11,3.0%,61.3%,83.0%,60.3%,74.2%,15,86.7%,33.7%,28,28.6%,53.5%,1.30,7:47
7,David Nalbandian,ARG,3,516,82.1%,33.3%,22,8.9%,12,4.9%,50.6%,75.2%,55.7%,65.6%,28,75.0%,43.9%,27,48.1%,54.3%,1.27,5:57
4,David Ferrer,ESP,3,738,80.3%,28.8%,18,5.1%,10,2.8%,61.5%,70.5%,62.5%,67.4%,27,55.6%,40.8%,36,47.2%,53.5%,1.25,8:42
,Carlos Moya,ESP,2,477,90.0%,12.2%,23,10.4%,11,5.0%,62.2%,81.9%,61.9%,74.3%,10,60.0%,32.2%,13,38.5%,51.8%,1.25,5:22
15,Tommy Robredo,ESP,4,916,85.9%,25.4%,18,4.0%,11,2.5%,69.9%,71.4%,59.0%,67.6%,28,64.3%,39.9%,34,52.9%,53.4%,1.23,10:32
5,Nikolay Davydenko,RUS,4,835,90.6%,23.1%,16,4.0%,10,2.5%,68.2%,70.8%,64.1%,68.7%,23,73.9%,38.6%,45,33.3%,53.1%,1.23,10:06
23,Igor Andreev,RUS,4,873,93.0%,16.9%,46,10.8%,14,3.3%,58.8%,82.4%,57.1%,72.0%,10,50.0%,33.9%,51,23.5%,52.5%,1.21,9:14
1,Rafael Nadal,ESP,6,1265,88.1%,27.8%,28,4.3%,16,2.5%,69.9%,70.0%,58.8%,66.6%,44,72.7%,39.8%,62,43.5%,53.4%,1.19,15:56
14,Ivo Karlovic,CRO,3,583,93.5%,17.8%,94,32.8%,14,4.9%,66.2%,85.3%,46.4%,72.1%,14,78.6%,33.1%,22,36.4%,52.3%,1.19,5:47
6,Andy Murray,GBR,7,1660,82.7%,25.8%,80,10.4%,23,3.0%,56.3%,75.0%,53.3%,65.5%,54,59.3%,41.1%,90,36.7%,52.4%,1.19,19:05
17,Juan Martin del Potro,ARG,5,1272,79.8%,34.3%,29,4.7%,21,3.4%,60.5%,69.9%,53.9%,63.6%,47,57.4%,42.9%,76,44.7%,53.0%,1.18,16:17
,Sam Querrey,USA,4,911,87.0%,23.2%,68,15.2%,14,3.1%,60.5%,80.4%,49.4%,68.2%,29,69.0%,37.2%,47,34.0%,52.4%,1.17,9:59
,Michael Llodra,FRA,2,556,86.4%,14.3%,29,10.9%,9,3.4%,61.9%,73.8%,60.4%,68.7%,12,50.0%,36.4%,26,23.1%,51.8%,1.16,5:56
,Viktor Troicki,SRB,3,510,77.5%,27.5%,26,11.1%,8,3.4%,64.5%,73.5%,48.2%,64.5%,20,55.0%,41.3%,25,44.0%,52.0%,1.16,5:39
,Ivo Minar,CZE,2,511,80.0%,22.5%,14,6.1%,7,3.1%,60.3%,72.5%,52.7%,64.6%,19,57.9%,41.1%,28,32.1%,51.7%,1.16,5:31
3,Novak Djokovic,SRB,6,1453,87.1%,21.4%,66,9.3%,16,2.2%,67.0%,73.2%,58.7%,68.4%,45,66.7%,36.7%,45,55.6%,52.2%,1.16,16:59
13,Fernando Verdasco,ESP,3,676,86.8%,22.6%,12,3.6%,8,2.4%,79.6%,69.2%,61.8%,67.7%,23,69.6%,37.1%,26,46.2%,52.2%,1.15,4:03
32,Gael Monfils,FRA,4,770,79.7%,32.2%,42,11.4%,23,6.3%,63.5%,71.7%,48.5%,63.2%,33,63.6%,42.4%,51,37.3%,52.3%,1.15,8:13
28,Radek Stepanek,CZE,3,557,87.2%,21.3%,30,11.0%,9,3.3%,68.0%,79.5%,47.1%,69.1%,12,50.0%,35.4%,22,45.5%,51.9%,1.15,5:55
16,Gilles Simon,FRA,3,687,84.2%,23.2%,27,7.7%,10,2.9%,51.9%,72.9%,59.5%,66.5%,26,65.4%,38.2%,24,54.2%,52.5%,1.14,8:03
11,Fernando Gonzalez,CHI,4,872,85.7%,16.9%,35,8.3%,20,4.8%,58.7%,76.1%,58.0%,68.6%,23,56.5%,35.5%,33,36.4%,51.5%,1.13,9:09
