Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
1,Roger Federer,SUI,7,1325,93.7%,28.0%,85,13.6%,10,1.6%,64.8%,80.0%,63.5%,74.2%,17,58.8%,40.2%,63,47.6%,56.2%,1.55,13:42
,Max Mirnyi,BLR,4,837,89.9%,15.9%,91,23.4%,10,2.6%,66.1%,84.4%,54.5%,74.3%,17,58.8%,35.0%,30,36.7%,53.3%,1.36,8:40
5,Marat Safin,RUS,3,564,93.5%,12.8%,36,13.6%,3,1.1%,67.0%,82.5%,57.5%,74.2%,14,78.6%,33.7%,17,35.3%,52.7%,1.31,5:57
12,Thomas Johansson,SWE,6,1274,90.8%,25.5%,71,11.5%,7,1.1%,60.5%,79.6%,57.2%,70.7%,33,72.7%,38.2%,54,46.3%,53.9%,1.31,13:17
2,Andy Roddick,USA,7,1585,91.3%,21.3%,104,13.6%,15,2.0%,69.2%,79.2%,55.1%,71.8%,38,71.1%,36.6%,69,39.1%,53.6%,1.30,15:33
21,Fernando Gonzalez,CHI,5,930,89.7%,20.0%,71,15.8%,25,5.6%,62.7%,78.7%,60.7%,72.0%,21,61.9%,36.3%,32,46.9%,53.5%,1.29,8:49
23,Juan Carlos Ferrero,ESP,4,900,88.2%,24.3%,34,8.0%,8,1.9%,65.5%,72.9%,59.6%,68.3%,31,74.2%,40.5%,46,37.0%,53.6%,1.28,9:44
26,Feliciano Lopez,ESP,5,1030,93.1%,19.8%,65,13.1%,10,2.0%,60.4%,84.0%,57.4%,73.4%,20,70.0%,33.8%,44,38.6%,52.9%,1.27,10:20
4,Rafael Nadal,ESP,2,379,90.3%,21.2%,18,10.5%,3,1.7%,66.3%,76.3%,58.6%,70.3%,11,72.7%,36.7%,25,28.0%,52.0%,1.24,3:59
3,Lleyton Hewitt,AUS,6,1280,91.2%,21.8%,78,12.3%,26,4.1%,55.9%,80.6%,56.4%,69.9%,31,71.0%,36.7%,53,41.5%,53.2%,1.22,13:37
