Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Novak Djokovic[SRB] [yr|ev],d.,9,(7)Matteo Berrettini[ITA] [yr|ev],6-7(4) 6-4 6-4 6-3,1.27,4.1%,61.5%,78.7%,53.2%,5/7,10.4%,59.1%,75.8%,38.1%,9/15,3:24,1
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,12,(10)Denis Shapovalov[CAN] [yr|ev],7-6(3) 7-5 7-5,1.17,7.1%,60.7%,80.9%,56.8%,10/11,4.6%,66.7%,79.2%,41.7%,7/10,2:44,1
SF,9,(7)Matteo Berrettini[ITA] [yr|ev],d.,18,(14)Hubert Hurkacz[POL] [yr|ev],6-3 6-0 6-7(3) 6-4,1.70,21.4%,63.1%,86.2%,60.5%,2/2,4.1%,57.0%,68.1%,50.0%,4/10,2:37,6
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,48,Marton Fucsovics[HUN] [yr|ev],6-3 6-4 6-4,1.40,4.3%,65.6%,82.0%,43.8%,5/6,5.0%,64.4%,58.5%,52.8%,10/14,2:17,1
QF,12,(10)Denis Shapovalov[CAN] [yr|ev],d.,29,(25)Karen Khachanov[RUS] [yr|ev],6-4 3-6 5-7 6-1 6-4,1.44,13.7%,63.4%,85.5%,50.0%,5/8,1.9%,61.1%,66.7%,50.8%,14/19,3:26,10
QF,9,(7)Matteo Berrettini[ITA] [yr|ev],d.,19,(16)Felix Auger Aliassime[CAN] [yr|ev],6-3 5-7 7-5 6-3,1.10,8.8%,66.2%,75.6%,50.0%,9/12,11.8%,59.1%,72.3%,51.1%,8/14,3:04,6
QF,18,(14)Hubert Hurkacz[POL] [yr|ev],d.,8,(6)Roger Federer[SUI] [yr|ev],6-3 7-6(4) 6-0,1.47,11.4%,59.1%,78.8%,55.6%,3/4,5.4%,64.5%,66.7%,33.3%,10/15,1:49,6
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,20,(17)Cristian Garin[CHI] [yr|ev],6-2 6-4 6-2,2.49,13.4%,58.2%,92.3%,64.3%,2/2,2.4%,56.5%,56.3%,45.9%,7/12,1:49,1
R16,48,Marton Fucsovics[HUN] [yr|ev],d.,7,(5)Andrey Rublev[RUS] [yr|ev],6-3 4-6 4-6 6-0 6-3,1.33,7.6%,57.1%,88.2%,45.1%,5/8,3.4%,67.5%,64.6%,50.0%,6/13,2:41,31
R16,29,(25)Karen Khachanov[RUS] [yr|ev],d.,50,Sebastian Korda[USA] [yr|ev],3-6 6-4 6-3 5-7 10-8,1.04,11.0%,65.1%,68.8%,46.7%,8/17,3.8%,68.4%,64.8%,48.0%,5/15,3:49,8
R16,12,(10)Denis Shapovalov[CAN] [yr|ev],d.,10,(8)Roberto Bautista Agut[ESP] [yr|ev],6-1 6-3 7-5,1.44,15.2%,58.6%,77.6%,43.9%,10/12,1.2%,65.5%,49.1%,44.8%,6/13,2:07,10
R16,9,(7)Matteo Berrettini[ITA] [yr|ev],d.,79,Ilya Ivashka[BLR] [yr|ev],6-4 6-3 6-1,1.72,9.7%,52.8%,84.2%,58.8%,0/1,9.3%,57.0%,61.2%,40.5%,6/12,1:47,6
R16,19,(16)Felix Auger Aliassime[CAN] [yr|ev],d.,6,(4)Alexander Zverev[GER] [yr|ev],6-4 7-6(6) 3-6 3-6 6-4,1.07,11.1%,56.2%,70.9%,59.7%,6/12,5.4%,65.5%,79.1%,34.5%,8/13,4:02,6
R16,8,(6)Roger Federer[SUI] [yr|ev],d.,27,(23)Lorenzo Sonego[ITA] [yr|ev],7-5 6-4 6-2,1.58,5.1%,60.3%,78.7%,64.5%,2/3,3.7%,62.0%,65.7%,43.9%,10/15,2:11,1
R16,18,(14)Hubert Hurkacz[POL] [yr|ev],d.,2,(2)Daniil Medvedev[RUS] [yr|ev],2-6 7-6(2) 3-6 6-3 6-3,0.90,6.5%,61.3%,76.8%,48.3%,5/8,9.3%,59.3%,79.5%,54.4%,1/4,3:02,6
R32,1,(1)Novak Djokovic[SRB] [yr|ev],d.,114,(Q)Denis Kudla[USA] [yr|ev],6-4 6-3 7-6(7),1.35,8.7%,54.3%,88.0%,50.0%,2/4,6.3%,46.9%,66.7%,54.9%,6/10,2:17,1
R32,20,(17)Cristian Garin[CHI] [yr|ev],d.,107,Pedro Martinez[ESP] [yr|ev],6-4 6-3 4-6 6-4,1.29,13.9%,61.1%,75.8%,57.1%,3/6,3.8%,63.2%,67.9%,44.9%,17/22,2:56,17
R32,48,Marton Fucsovics[HUN] [yr|ev],d.,11,(9)Diego Schwartzman[ARG] [yr|ev],6-3 6-3 6-7(6) 6-4,1.17,2.4%,62.1%,72.7%,48.9%,3/7,0.8%,62.4%,67.9%,40.4%,6/14,3:19,31
R32,7,(5)Andrey Rublev[RUS] [yr|ev],d.,31,(26)Fabio Fognini[ITA] [yr|ev],6-3 5-7 6-4 6-2,1.20,9.2%,54.6%,72.7%,53.1%,7/9,5.9%,62.5%,65.9%,41.2%,8/13,2:59,5
R32,29,(25)Karen Khachanov[RUS] [yr|ev],d.,57,Frances Tiafoe[USA] [yr|ev],6-3 6-4 6-4,1.51,15.9%,69.5%,80.7%,64.0%,0/0,5.1%,59.5%,72.3%,50.0%,3/6,1:46,8
R32,50,Sebastian Korda[USA] [yr|ev],d.,26,(22)Daniel Evans[GBR] [yr|ev],6-3 3-6 6-3 6-4,1.11,11.2%,61.2%,73.2%,57.8%,7/10,0.0%,62.5%,75.0%,44.4%,4/9,2:24,15
R32,12,(10)Denis Shapovalov[CAN] [yr|ev],d.,118,(WC)Andy Murray[GBR] [yr|ev],6-4 6-2 6-2,1.39,14.3%,53.8%,71.4%,57.1%,8/9,1.3%,58.8%,51.1%,51.5%,5/11,2:17,10
R32,10,(8)Roberto Bautista Agut[ESP] [yr|ev],d.,62,Dominik Koepfer[GER] [yr|ev],7-5 6-1 7-6(4),1.24,3.1%,69.1%,70.1%,33.3%,3/8,6.9%,54.9%,66.1%,28.3%,8/16,2:20,9
R32,9,(7)Matteo Berrettini[ITA] [yr|ev],d.,64,Aljaz Bedene[SLO] [yr|ev],6-4 6-4 6-4,1.89,26.3%,64.5%,81.6%,81.5%,2/2,9.0%,64.0%,66.7%,62.5%,6/9,1:42,6
R32,79,Ilya Ivashka[BLR] [yr|ev],d.,78,Jordan Thompson[AUS] [yr|ev],6-4 6-4 6-4,1.26,8.1%,60.5%,73.1%,55.9%,1/4,7.1%,58.8%,72.0%,37.1%,1/7,2:02,40
R32,19,(16)Felix Auger Aliassime[CAN] [yr|ev],d.,60,Nick Kyrgios[AUS] [yr|ev],2-6 6-1 RET,1.09,12.2%,58.5%,70.8%,47.1%,1/4,10.0%,70.0%,57.1%,58.3%,3/6,0:58,6
R32,6,(4)Alexander Zverev[GER] [yr|ev],d.,40,(31)Taylor Fritz[USA] [yr|ev],6-7(3) 6-4 6-3 7-6(4),1.77,16.2%,69.2%,91.4%,55.6%,1/2,9.0%,65.3%,71.3%,54.0%,6/9,2:38,2
R32,8,(6)Roger Federer[SUI] [yr|ev],d.,34,(29)Cameron Norrie[GBR] [yr|ev],6-4 6-4 5-7 6-4,1.33,6.1%,66.7%,73.7%,65.8%,2/4,9.1%,65.9%,67.8%,48.9%,7/11,2:35,1
R32,27,(23)Lorenzo Sonego[ITA] [yr|ev],d.,91,James Duckworth[AUS] [yr|ev],6-3 6-4 6-4,1.42,16.5%,68.2%,84.5%,59.3%,1/1,1.3%,65.3%,65.3%,69.2%,3/6,1:47,21
R32,18,(14)Hubert Hurkacz[POL] [yr|ev],d.,38,Alexander Bublik[KAZ] [yr|ev],6-3 6-4 6-2,1.75,9.5%,70.3%,80.8%,72.7%,0/0,13.5%,43.2%,84.4%,45.2%,4/8,1:24,6
R32,2,(2)Daniil Medvedev[RUS] [yr|ev],d.,37,(32)Marin Cilic[CRO] [yr|ev],6-7(3) 3-6 6-3 6-3 6-2,1.03,10.3%,59.6%,75.3%,39.7%,3/8,7.3%,56.3%,75.3%,39.4%,7/15,3:36,1
R64,1,(1)Novak Djokovic[SRB] [yr|ev],d.,102,Kevin Anderson[RSA] [yr|ev],6-3 6-3 6-3,2.12,12.5%,63.9%,84.8%,69.2%,0/0,14.3%,58.4%,66.7%,40.6%,4/8,1:41,1
R64,114,(Q)Denis Kudla[USA] [yr|ev],d.,90,Andreas Seppi[ITA] [yr|ev],6-2 6-4 6-2,1.54,7.9%,57.9%,75.0%,59.4%,1/2,6.6%,55.3%,64.3%,35.3%,3/9,1:32,53
R64,20,(17)Cristian Garin[CHI] [yr|ev],d.,154,(Q)Marc Polmans[AUS] [yr|ev],7-6(3) 6-2 2-6 7-6(5),1.05,8.0%,57.3%,68.6%,53.1%,14/19,4.3%,61.0%,67.4%,49.1%,9/14,3:21,17
R64,107,Pedro Martinez[ESP] [yr|ev],d.,17,(13)Gael Monfils[FRA] [yr|ev],6-3 6-4 4-6 7-6(5),1.19,4.7%,65.6%,70.2%,65.9%,9/12,15.3%,59.9%,75.6%,43.6%,7/11,3:09,36
R64,11,(9)Diego Schwartzman[ARG] [yr|ev],d.,143,(WC)Liam Broady[GBR] [yr|ev],4-6 6-2 6-1 6-4,1.18,0.8%,60.6%,67.5%,51.9%,15/18,0.8%,66.9%,57.0%,48.7%,8/16,3:14,8
R64,48,Marton Fucsovics[HUN] [yr|ev],d.,72,Jiri Vesely[CZE] [yr|ev],6-3 5-4 RET,1.22,11.5%,57.4%,77.1%,53.8%,1/1,15.0%,68.3%,73.2%,31.6%,5/7,1:38,31
R64,31,(26)Fabio Fognini[ITA] [yr|ev],d.,55,Laslo Djere[SRB] [yr|ev],6-3 6-4 0-6 6-4,1.15,1.8%,61.3%,70.6%,53.5%,3/8,10.6%,57.7%,70.0%,43.2%,10/15,2:15,9
R64,7,(5)Andrey Rublev[RUS] [yr|ev],d.,51,Lloyd Harris[RSA] [yr|ev],6-1 6-2 7-5,1.80,8.2%,64.4%,83.0%,61.5%,0/1,22.2%,68.1%,63.3%,39.1%,2/8,1:22,5
R64,57,Frances Tiafoe[USA] [yr|ev],d.,65,Vasek Pospisil[CAN] [yr|ev],6-4 6-4 6-4,1.76,17.9%,74.4%,79.3%,70.0%,0/0,15.0%,56.6%,75.0%,38.8%,5/8,2:03,10
R64,29,(25)Karen Khachanov[RUS] [yr|ev],d.,73,Egor Gerasimov[BLR] [yr|ev],6-1 7-6(3) 6-3,1.64,10.1%,63.3%,82.0%,58.6%,4/4,8.5%,75.5%,62.0%,39.1%,4/9,1:48,8
R64,26,(22)Daniel Evans[GBR] [yr|ev],d.,42,Dusan Lajovic[SRB] [yr|ev],6-3 6-3 6-4,1.41,0.0%,56.1%,71.7%,63.9%,5/7,4.6%,65.5%,59.6%,46.7%,3/9,1:56,21
R64,50,Sebastian Korda[USA] [yr|ev],d.,156,(Q)Antoine Hoang[FRA] [yr|ev],7-5 6-4 6-4,1.32,4.9%,69.9%,68.1%,54.8%,4/7,3.3%,73.3%,57.3%,40.0%,17/23,2:48,15
R64,12,(10)Denis Shapovalov[CAN] [yr|ev],d.,70,Pablo Andujar[ESP] [yr|ev],W/O,,,,,,,,,,,,,10
R64,118,(WC)Andy Murray[GBR] [yr|ev],d.,151,(Q)Oscar Otte[GER] [yr|ev],6-3 4-6 4-6 6-4 6-2,1.07,4.7%,65.1%,74.2%,40.4%,4/8,9.7%,57.6%,75.9%,37.7%,5/12,3:51,1
R64,62,Dominik Koepfer[GER] [yr|ev],d.,71,Soon Woo Kwon[KOR] [yr|ev],6-3 6-7(8) 7-6(2) 5-7 6-3,1.06,8.3%,63.0%,67.8%,52.1%,13/20,5.0%,62.6%,64.3%,52.2%,8/17,3:55,49
R64,10,(8)Roberto Bautista Agut[ESP] [yr|ev],d.,49,Miomir Kecmanovic[SRB] [yr|ev],6-3 6-3 6-7(3) 3-6 6-3,1.07,5.7%,64.2%,68.6%,56.1%,7/11,6.3%,59.7%,71.6%,46.9%,6/13,3:33,9
R64,9,(7)Matteo Berrettini[ITA] [yr|ev],d.,139,(LL)Botic Van De Zandschulp[NED] [yr|ev],6-3 6-4 7-6(4),1.24,19.2%,51.0%,83.0%,62.7%,9/9,7.1%,53.5%,75.5%,56.5%,5/7,2:15,6
R64,64,Aljaz Bedene[SLO] [yr|ev],d.,58,Yoshihito Nishioka[JPN] [yr|ev],6-1 6-0 6-2,1.92,12.1%,54.5%,91.7%,46.7%,0/0,1.5%,70.8%,47.8%,36.8%,2/9,1:24,43
R64,79,Ilya Ivashka[BLR] [yr|ev],d.,61,Jeremy Chardy[FRA] [yr|ev],4-6 6-3 6-2 6-4,1.49,17.5%,67.0%,84.1%,55.9%,2/3,6.7%,58.7%,72.1%,48.8%,7/11,2:24,40
R64,78,Jordan Thompson[AUS] [yr|ev],d.,53,Kei Nishikori[JPN] [yr|ev],7-5 6-4 5-7 6-3,1.22,10.5%,64.5%,81.3%,43.2%,0/3,3.8%,70.0%,63.7%,53.8%,7/12,3:05,26
R64,19,(16)Felix Auger Aliassime[CAN] [yr|ev],d.,98,Mikael Ymer[SWE] [yr|ev],6-4 4-6 7-6(4) 6-1,1.49,17.9%,71.7%,80.3%,63.3%,3/5,0.0%,75.9%,65.9%,55.6%,1/5,2:39,6
R64,60,Nick Kyrgios[AUS] [yr|ev],d.,77,Gianluca Mager[ITA] [yr|ev],7-6(7) 6-4 6-4,1.37,30.5%,65.3%,80.6%,69.7%,0/0,15.9%,59.8%,71.9%,62.8%,5/7,1:51,13
R64,40,(31)Taylor Fritz[USA] [yr|ev],d.,74,Steve Johnson[USA] [yr|ev],6-4 7-6(4) 4-6 6-7(4) 6-4,1.05,12.3%,56.9%,72.1%,57.1%,14/18,8.8%,59.7%,69.4%,56.2%,14/19,3:47,4
R64,6,(4)Alexander Zverev[GER] [yr|ev],d.,68,Tennys Sandgren[USA] [yr|ev],7-5 6-2 6-3,2.46,18.8%,72.5%,84.0%,78.9%,1/1,8.8%,58.2%,69.8%,39.5%,5/10,1:45,2
R64,8,(6)Roger Federer[SUI] [yr|ev],d.,56,Richard Gasquet[FRA] [yr|ev],7-6(1) 6-1 6-4,1.61,10.5%,65.3%,83.9%,57.6%,5/5,3.1%,57.3%,65.5%,51.2%,3/6,1:51,1
R64,34,(29)Cameron Norrie[GBR] [yr|ev],d.,149,(WC)Alex Bolt[AUS] [yr|ev],6-3 6-1 6-2,1.85,4.6%,60.0%,71.8%,73.1%,1/2,10.5%,61.6%,66.0%,21.2%,5/12,1:35,8
R64,27,(23)Lorenzo Sonego[ITA] [yr|ev],d.,112,Daniel Elahi Galan[COL] [yr|ev],4-6 6-3 7-6(3) 6-1,1.21,15.1%,73.9%,77.3%,35.5%,3/7,2.8%,68.5%,67.6%,41.2%,2/8,2:44,21
R64,91,James Duckworth[AUS] [yr|ev],d.,54,Sam Querrey[USA] [yr|ev],7-5 6-7(4) 6-3 6-2,1.46,11.8%,62.2%,82.4%,64.4%,7/8,14.0%,59.5%,77.8%,44.9%,7/12,2:20,46
R64,18,(14)Hubert Hurkacz[POL] [yr|ev],d.,66,Marcos Giron[USA] [yr|ev],6-3 6-2 6-4,1.84,16.2%,58.1%,83.7%,67.7%,0/0,4.9%,62.7%,68.8%,39.5%,9/13,1:44,6
R64,38,Alexander Bublik[KAZ] [yr|ev],d.,21,(18)Grigor Dimitrov[BUL] [yr|ev],6-4 7-6(6) 7-6(4),1.06,27.2%,52.8%,84.8%,54.2%,5/5,3.5%,65.2%,74.7%,57.5%,5/6,2:26,17
R64,37,(32)Marin Cilic[CRO] [yr|ev],d.,119,(Q)Benjamin Bonzi[FRA] [yr|ev],6-4 3-6 6-3 7-6(5),1.10,12.2%,57.3%,76.0%,53.6%,5/7,12.8%,64.4%,70.8%,49.1%,14/17,3:04,3
R64,2,(2)Daniil Medvedev[RUS] [yr|ev],d.,75,(WC)Carlos Alcaraz[ESP] [yr|ev],6-4 6-1 6-2,2.00,9.4%,62.5%,95.0%,41.7%,1/3,2.4%,67.1%,61.8%,25.9%,8/15,1:35,1
R128,1,(1)Novak Djokovic[SRB] [yr|ev],d.,253,(WC)Jack Draper[GBR] [yr|ev],4-6 6-1 6-2 6-2,2.51,30.9%,77.8%,87.3%,66.7%,2/3,3.8%,56.6%,70.0%,39.1%,9/15,2:00,1
R128,102,Kevin Anderson[RSA] [yr|ev],d.,209,(Q)Tomas Barrios Vera[CHI] [yr|ev],6-7(4) 6-4 6-4 7-6(4),1.13,29.3%,67.1%,87.2%,52.2%,2/2,3.7%,74.1%,76.0%,62.9%,6/8,3:07,5
R128,90,Andreas Seppi[ITA] [yr|ev],d.,120,Joao Sousa[POR] [yr|ev],4-6 6-4 7-5 6-2,1.09,9.4%,57.7%,65.1%,55.6%,18/21,4.1%,71.2%,58.7%,54.8%,8/14,3:12,18
R128,114,(Q)Denis Kudla[USA] [yr|ev],d.,35,(30)Alejandro Davidovich Fokina[ESP] [yr|ev],5-7 4-6 7-6(4) 6-3 6-3,1.11,8.8%,53.1%,74.4%,52.2%,7/13,5.6%,67.9%,68.2%,42.3%,6/13,3:18,53
R128,20,(17)Cristian Garin[CHI] [yr|ev],d.,125,(Q)Bernabe Zapata Miralles[ESP] [yr|ev],6-7(6) 6-3 3-6 6-3 6-2,1.23,9.0%,73.1%,78.1%,42.9%,6/8,2.4%,59.0%,67.3%,52.9%,16/21,3:10,17
R128,154,(Q)Marc Polmans[AUS] [yr|ev],d.,625,Yen Hsun Lu[TPE] [yr|ev],6-2 7-5 4-6 6-1,1.39,7.1%,70.8%,76.3%,48.5%,2/5,3.8%,67.3%,57.1%,52.9%,3/10,2:27,116
R128,107,Pedro Martinez[ESP] [yr|ev],d.,88,Stefano Travaglia[ITA] [yr|ev],6-3 2-6 6-4 6-4,1.08,2.5%,57.6%,64.7%,58.0%,6/11,10.9%,55.5%,77.3%,35.8%,10/16,2:43,36
R128,17,(13)Gael Monfils[FRA] [yr|ev],d.,130,(Q)Christopher Oconnell[AUS] [yr|ev],4-6 6-2 7-6(5) 4-6 6-4,1.12,8.3%,63.7%,76.6%,49.2%,6/9,1.2%,64.5%,69.2%,50.8%,9/13,3:25,6
R128,11,(9)Diego Schwartzman[ARG] [yr|ev],d.,46,Benoit Paire[FRA] [yr|ev],6-3 6-4 6-0,1.98,0.0%,63.2%,79.1%,68.0%,1/2,7.5%,51.6%,60.4%,40.0%,9/15,1:31,8
R128,143,(WC)Liam Broady[GBR] [yr|ev],d.,86,Marco Cecchinato[ITA] [yr|ev],6-3 6-4 6-0,1.58,9.0%,75.3%,74.6%,54.5%,6/6,5.5%,61.6%,57.8%,42.9%,6/11,1:48,93
R128,72,Jiri Vesely[CZE] [yr|ev],d.,99,Yannick Hanfmann[GER] [yr|ev],6-1 7-5 7-6(5),1.56,10.1%,64.0%,82.5%,71.9%,0/0,9.4%,64.6%,72.6%,55.9%,4/7,2:13,35
R128,48,Marton Fucsovics[HUN] [yr|ev],d.,23,(19)Jannik Sinner[ITA] [yr|ev],5-7 6-3 7-5 6-3,1.13,4.3%,53.2%,75.7%,43.1%,6/12,1.5%,56.8%,65.3%,42.1%,10/19,3:04,31
R128,31,(26)Fabio Fognini[ITA] [yr|ev],d.,39,Albert Ramos[ESP] [yr|ev],7-6(4) 6-2 6-4,1.38,6.3%,61.5%,83.1%,51.4%,2/3,3.1%,60.8%,62.7%,55.3%,3/7,1:57,9
R128,55,Laslo Djere[SRB] [yr|ev],d.,84,Pablo Cuevas[URU] [yr|ev],5-7 6-4 6-4 6-4,0.97,6.6%,63.1%,80.5%,53.3%,4/5,10.2%,73.1%,81.0%,44.8%,1/4,2:18,27
R128,51,Lloyd Harris[RSA] [yr|ev],d.,80,Ricardas Berankis[LTU] [yr|ev],6-3 6-4 7-6(6),1.26,21.2%,72.6%,79.3%,41.9%,2/3,1.6%,64.8%,69.9%,44.4%,10/13,2:30,31
R128,7,(5)Andrey Rublev[RUS] [yr|ev],d.,47,Federico Delbonis[ARG] [yr|ev],4-6 6-4 6-1 6-2,1.43,10.6%,62.5%,78.5%,53.8%,3/5,6.1%,58.8%,64.2%,44.7%,7/13,2:15,5
R128,57,Frances Tiafoe[USA] [yr|ev],d.,4,(3)Stefanos Tsitsipas[GRE] [yr|ev],6-4 6-4 6-3,1.08,6.8%,65.0%,68.7%,66.7%,7/7,19.2%,69.2%,75.9%,41.7%,4/8,2:02,10
R128,65,Vasek Pospisil[CAN] [yr|ev],d.,100,Roberto Carballes Baena[ESP] [yr|ev],6-3 6-3 6-3,1.80,23.4%,64.9%,82.0%,63.0%,4/5,6.2%,63.0%,64.7%,40.0%,7/12,1:44,25
R128,73,Egor Gerasimov[BLR] [yr|ev],d.,230,(WC)Jay Clarke[GBR] [yr|ev],6-3 3-6 7-6(5) 6-2,1.15,10.3%,70.6%,79.8%,43.2%,7/9,4.8%,54.0%,71.6%,56.1%,10/14,2:46,65
R128,29,(25)Karen Khachanov[RUS] [yr|ev],d.,108,(Q)Mackenzie Mcdonald[USA] [yr|ev],3-6 6-3 6-4 7-6(3),1.08,11.2%,67.9%,70.3%,58.1%,14/17,10.0%,60.8%,73.4%,49.0%,4/8,2:50,8
R128,26,(22)Daniel Evans[GBR] [yr|ev],d.,89,Feliciano Lopez[ESP] [yr|ev],7-6(4) 6-2 7-5,1.56,9.7%,65.6%,88.5%,56.3%,3/3,14.3%,59.3%,75.9%,48.6%,1/4,2:04,21
R128,42,Dusan Lajovic[SRB] [yr|ev],d.,97,Gilles Simon[FRA] [yr|ev],6-4 7-5 3-6 4-6 6-3,1.04,1.8%,69.9%,64.9%,61.2%,7/11,4.8%,67.3%,71.2%,44.4%,11/16,4:01,23
R128,156,(Q)Antoine Hoang[FRA] [yr|ev],d.,175,(Q)Zhizhen Zhang[CHN] [yr|ev],4-6 7-6(5) 6-7(5) 6-3 6-2,1.17,3.8%,73.1%,76.3%,54.8%,3/6,7.6%,64.9%,74.8%,48.3%,7/12,3:41,98
R128,50,Sebastian Korda[USA] [yr|ev],d.,15,(15)Alex De Minaur[AUS] [yr|ev],6-3 6-4 6-7(5) 7-6(5),1.28,7.0%,62.2%,76.4%,59.3%,7/9,1.8%,62.8%,66.0%,54.1%,15/19,3:25,15
R128,12,(10)Denis Shapovalov[CAN] [yr|ev],d.,115,Philipp Kohlschreiber[GER] [yr|ev],6-4 4-6 6-3 5-7 6-4,0.96,8.5%,55.5%,76.9%,50.7%,10/13,2.0%,59.9%,78.4%,49.2%,8/12,3:35,10
R128,70,Pablo Andujar[ESP] [yr|ev],d.,101,Pierre Hugues Herbert[FRA] [yr|ev],7-6(7) 4-6 7-6(7) 5-7 8-6,0.94,0.4%,63.9%,61.4%,50.0%,10/19,12.7%,51.4%,79.6%,39.3%,11/19,5:02,32
R128,151,(Q)Oscar Otte[GER] [yr|ev],d.,109,(Q)Arthur Rinderknech[FRA] [yr|ev],4-6 6-3 6-2 6-7(5) 13-12(2),1.35,12.8%,66.8%,84.0%,54.8%,5/7,13.2%,67.8%,74.8%,45.5%,7/11,3:57,36
R128,118,(WC)Andy Murray[GBR] [yr|ev],d.,28,(24)Nikoloz Basilashvili[GEO] [yr|ev],6-4 6-3 5-7 6-3,1.26,13.9%,58.2%,71.8%,49.0%,5/10,3.8%,59.5%,65.4%,34.0%,6/14,3:32,1
R128,62,Dominik Koepfer[GER] [yr|ev],d.,32,(27)Reilly Opelka[USA] [yr|ev],6-4 7-6(3) 6-2,1.38,7.1%,59.6%,83.1%,60.0%,3/3,21.6%,62.5%,76.4%,42.4%,0/3,1:59,49
R128,71,Soon Woo Kwon[KOR] [yr|ev],d.,222,(Q)Daniel Masur[GER] [yr|ev],6-7(2) 6-3 6-4 6-4,1.19,10.7%,64.1%,81.0%,48.9%,2/3,8.3%,66.1%,71.3%,48.8%,6/10,2:34,52
R128,49,Miomir Kecmanovic[SRB] [yr|ev],d.,92,Facundo Bagnis[ARG] [yr|ev],6-4 3-6 6-3 7-6(1),1.28,7.1%,62.8%,78.9%,57.1%,2/4,10.3%,57.4%,73.1%,48.3%,13/16,2:42,27
R128,10,(8)Roberto Bautista Agut[ESP] [yr|ev],d.,43,John Millman[AUS] [yr|ev],6-2 3-6 6-3 7-6(4),1.16,2.7%,60.7%,69.1%,59.1%,2/5,7.8%,62.9%,68.5%,44.2%,2/7,3:03,9
R128,9,(7)Matteo Berrettini[ITA] [yr|ev],d.,59,Guido Pella[ARG] [yr|ev],6-4 3-6 6-4 6-0,1.64,22.7%,61.4%,83.3%,61.8%,0/1,3.6%,67.0%,64.0%,48.6%,3/8,2:16,6
R128,139,(LL)Botic Van De Zandschulp[NED] [yr|ev],d.,131,(Q)Gregoire Barrere[FRA] [yr|ev],6-2 6-7(4) 6-1 7-6(3),1.30,10.9%,60.5%,76.9%,54.9%,1/4,3.1%,64.9%,65.9%,45.7%,12/19,2:40,22
R128,64,Aljaz Bedene[SLO] [yr|ev],d.,83,Corentin Moutet[FRA] [yr|ev],6-4 6-4 6-0,1.84,7.1%,62.9%,84.1%,57.7%,4/5,1.4%,68.1%,57.1%,43.5%,3/9,1:42,43
R128,58,Yoshihito Nishioka[JPN] [yr|ev],d.,33,(28)John Isner[USA] [yr|ev],7-6(5) 2-6 6-3 6-7(3) 6-4,0.91,1.9%,71.5%,71.7%,66.7%,4/6,24.3%,62.2%,81.5%,58.9%,2/4,3:18,24
R128,61,Jeremy Chardy[FRA] [yr|ev],d.,24,(20)Aslan Karatsev[RUS] [yr|ev],7-6(4) 7-6(6) 6-3,1.56,17.8%,65.3%,78.8%,74.3%,4/4,6.8%,66.1%,70.5%,52.5%,7/8,2:27,25
R128,79,Ilya Ivashka[BLR] [yr|ev],d.,69,Jaume Munar[ESP] [yr|ev],6-1 7-5 7-6(5),1.33,7.4%,49.5%,85.1%,52.1%,1/2,3.5%,57.0%,66.2%,46.9%,9/14,2:26,40
R128,53,Kei Nishikori[JPN] [yr|ev],d.,67,Alexei Popyrin[AUS] [yr|ev],6-4 6-4 6-4,1.46,6.7%,62.2%,73.2%,73.5%,7/7,10.0%,57.0%,70.2%,48.8%,8/11,1:58,4
